index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
-1,18,519373,320900,33308,0,0s;0.003s;0.016s;0.028s;0.041s;0.049s;0.071s;0.082s;0.098s;0.118s;0.12s;0.143s;0.146s;0.168s;0.22s;0.209s;0.245s;0.235s;0.435s,0.012s;0.063s;0.09s;0.109s;0.155s;0.189s;0.232s;0.287s;0.323s;0.35s;0.413s;0.444s;0.532s;0.581s;0.567s;0.665s;0.733s;0.773s;0.802s,0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s,24178688;24903680;25571328;27217920;28917760;29614080;30302208;31043584;31825920;32563200;33308672;34050048;34787328;35528704;36298752;35270656;36052992;36831232;37609472,24674304;24932352;25583616;26308608;28921856;29614080;30306304;31043584;31825920;32567296;33308672;34050048;34787328;35532800;36298752;35282944;36069376;36843520;40988672,286398;957470;1678340;2399210;3120080;3840950;4614521;5430197;6199502;6968806;7743102;8517398;9291694;10087079;10898380;11709681;12520982;13332283;14143584
-2,34,995397,611421,23805,0,0s;0.005s;0.01s;0.02s;0.026s;0.035s;0.04s;0.048s;0.051s;0.053s;0.061s;0.059s;0.093s;0.09s;0.124s;0.102s;0.168s;0.191s;0.194s;0.206s;0.225s;0.245s;0.229s;0.244s;0.247s;0.254s;0.259s;0.265s;0.297s;0.275s;0.304s;0.315s;0.349s;0.377s;0.728s,0.013s;0.058s;0.08s;0.119s;0.164s;0.279s;0.253s;0.287s;0.328s;0.354s;0.408s;0.459s;0.549s;0.583s;0.656s;0.668s;0.696s;0.741s;0.746s;0.853s;0.88s;0.93s;0.973s;1.035s;1.07s;1.128s;1.189s;1.236s;1.308s;1.318s;1.42s;1.474s;1.485s;1.568s;1.559s,0s;0s;0s;0s;0s;0s;0s;0.002s;0s;0s;0s;0s;0s;0s;0s;0s;0.002s;0.002s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.002s,24858624;25747456;25796608;26505216;28250112;28954624;29655040;30437376;31219712;31969280;32722944;33476608;34238464;34996224;35786752;36581376;37421056;38215680;39010304;39809024;40603648;41406464;42201088;42995712;43790336;44584960;45367296;46137344;46911488;47681536;48398336;49168384;49942528;50720768;51490816,24879104;25767936;25804800;26513408;28250112;28954624;29659136;30437376;31219712;31969280;32722944;33480704;34238464;34996224;35786752;36581376;37425152;38215680;39010304;39809024;40611840;41406464;42201088;42995712;43790336;44589056;45367296;46137344;46911488;47624192;48398336;49168384;49942528;50720768;72925184,300237;986447;1722755;2459063;3195371;3931679;4744033;5559263;6344990;7130716;7921533;8712350;9503167;10326998;11155600;11984202;12812804;13641406;14470008;15298610;16127212;16955814;17784416;18613018;19441620;20253200;21059128;21865056;22670984;23476912;24282840;25088768;25894696;26700624;27506552
-3,49,1,-1,-1,-1,0s;0.003s;0.015s;0.027s;0.037s;0.049s;0.056s;0.068s;0.076s;0.079s;0.107s;0.096s;0.13s;0.145s;0.172s;0.199s;0.208s;0.209s;0.243s;0.227s;0.253s;0.261s;0.324s;0.298s;0.347s;0.363s;0.317s;0.332s;0.35s;0.345s;0.38s;0.397s;0.39s;0.398s;0.422s;0.443s;0.403s;0.448s;0.431s;0.433s;0.447s;0.498s;0.479s;0.5s;0.537s;0.536s;0.604s;0.53s;0.569s;-1,0.009s;0.055s;0.089s;0.121s;0.144s;0.19s;0.23s;0.28s;0.316s;0.354s;0.434s;0.436s;0.509s;0.574s;0.601s;0.668s;0.698s;0.772s;0.763s;0.847s;0.832s;0.904s;0.986s;1.045s;1.112s;1.206s;1.228s;1.259s;1.338s;1.33s;1.45s;1.425s;1.441s;1.539s;1.599s;1.607s;1.569s;1.678s;1.69s;1.785s;1.903s;1.875s;1.872s;1.919s;1.974s;1.955s;2.002s;1.978s;2.016s;-1,0.001s;0s;0.005s;0s;0.005s;0s;0s;0s;0s;0s;0s;0s;0s;0.005s;0s;0s;0s;0s;0.002s;0s;0s;0s;0.005s;0s;0s;0.002s;0s;0s;0s;0s;0s;0s;0.005s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s;-1,25038848;25776128;25845760;26529792;27213824;27893760;28581888;29306880;30093312;30822400;31551488;32292864;33030144;33763328;34516992;35287040;36061184;36831232;37605376;38379520;39153664;39927808;40697856;41472000;42242048;43016192;43786240;44539904;45289472;46039040;46796800;47546368;48295936;49045504;49758208;50507776;51261440;52011008;52760576;53514240;54272000;55025664;55779328;56528896;57278464;58028032;58777600;59531264;60284928;-1,25063424;25796608;25866240;26537984;27234304;27918336;28602368;29327360;30113792;30842880;31571968;32313344;33050624;33783808;34537472;35307520;36081664;36851712;37625856;38400000;39174144;39948288;40718336;41492480;42262528;43036672;43806720;44560384;45309952;46059520;46817280;47566848;48316416;49029120;49778688;50528256;51281920;52031488;52781056;53538816;54292480;55046144;55799808;56549376;57298944;58048512;58798080;59551744;60305408;-1,290515;956445;1672219;2387993;3103767;3819541;4578772;5396505;6160388;6924271;7693123;8461976;9230829;10016091;10821549;11627007;12432465;13237923;14043381;14848839;15654297;16459755;17265213;18070671;18876129;19681587;20467275;21250767;22034259;22817751;23601243;24384735;25168227;25951719;26735211;27518703;28302195;29085687;36980607;30652671;31436163;32219655;33003147;33786639;34570131;35353623;36137115;36920607;37704099;-1
-4,21,620789,384076,33963,0,0s;0.004s;0.01s;0.027s;0.048s;0.057s;0.081s;0.082s;0.103s;0.122s;0.126s;0.138s;0.173s;0.183s;0.19s;0.203s;0.222s;0.234s;0.251s;0.281s;0.282s;0.472s,0.015s;0.065s;0.102s;0.149s;0.213s;0.268s;0.265s;0.307s;0.361s;0.391s;0.474s;0.488s;0.515s;0.567s;0.662s;0.648s;0.726s;0.796s;0.882s;0.887s;0.959s;0.946s,0s;0s;0s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0.001s;0s;0s;0s;0s;0s;0s;0.002s;0s,25030656;25903104;25964544;27766784;27365376;30191616;28782592;31686656;30355456;33226752;31866880;34746368;33390592;36270080;34951168;37867520;36548608;37351424;40267776;38948864;41869312;40550400,25051136;25923584;25985024;26664960;27385856;30191616;28803072;31686656;30375936;33226752;31887360;34746368;33411072;36270080;34971648;37867520;36569088;37371904;40267776;38969344;41869312;41361408,300504;990057;1731614;2473171;3214728;3956285;4776853;5597370;6388806;7180241;7976842;8773443;9570044;10399929;11234335;12068741;12903147;13737553;14571959;15406365;16240771;17075177
-5,14,328816,205137,13537,0,0s;0.003s;0.01s;0.015s;0.025s;0.037s;0.045s;0.053s;0.061s;0.075s;0.088s;0.099s;0.111s;0.12s;0.188s,0.01s;0.048s;0.071s;0.094s;0.118s;0.154s;0.194s;0.22s;0.254s;0.283s;0.334s;0.362s;0.403s;0.442s;0.463s,0s;0s;0s;0.001s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.001s,25006080;25772032;25772032;26333184;26890240;27447296;28004352;28561408;29126656;29798400;30396416;30998528;31600640;32198656;32800768,25026560;25792512;25792512;26353664;26910720;27467776;28024832;28581888;29147136;29818880;30416896;31019008;31621120;32219136;33353728,260714;803104;1387648;1972192;2556736;3141280;3725824;4316632;5018496;5642430;6270452;6898473;7526496;8154519;8782542
-6,10,256346,160661,13669,0,0s;0.002s;0.009s;0.022s;0.026s;0.04s;0.056s;0.067s;0.071s;0.097s;0.163s,0.011s;0.051s;0.082s;0.124s;0.16s;0.178s;0.214s;0.262s;0.319s;0.322s;0.349s,0s;0s;0s;0.001s;0s;0s;0s;0.001s;0s;0.003s;0.001s,25071616;25309184;25866240;26468352;29052928;29655040;30261248;30867456;31539200;32223232;32874496,25079808;25329664;25886720;26480640;29052928;29655040;30261248;30867456;31539200;32223232;39157760,268234;857119;1491396;2125673;2759950;3394227;4028504;4732634;5446881;6123847;6805237
-7,23,609365,377901,33422,0,0s;0.002s;0.009s;0.027s;0.03s;0.044s;0.051s;0.055s;0.067s;0.068s;0.096s;0.115s;0.15s;0.138s;0.155s;0.178s;0.205s;0.206s;0.208s;0.222s;0.263s;0.244s;0.272s;0.455s,0.012s;0.048s;0.08s;0.12s;0.151s;0.177s;0.229s;0.298s;0.306s;0.366s;0.393s;0.421s;0.548s;0.579s;0.595s;0.604s;0.645s;0.645s;0.715s;0.741s;0.828s;0.939s;0.92s;0.922s,0.001s;0s;0.001s;0s;0s;0.001s;0s;0s;0s;0s;0.001s;0s;0s;0s;0.005s;0s;0s;0s;0s;0s;0s;0s;0s;0s,26677248;25870336;25899008;26542080;27176960;30445568;28446720;29085696;32468992;30515200;31195136;34516992;32567296;33251328;36569088;34631680;35348480;38699008;36786176;37502976;40853504;38940672;39657472;43008000,26677248;25890816;25907200;26562560;27197440;30445568;28467200;29106176;32468992;30535680;31215616;34516992;32587776;33271808;36569088;34652160;35368960;38699008;36806656;37523456;40853504;38961152;39677952;43376640,279849;897339;1563105;2228871;2894637;3560403;4230555;5014557;5725203;6435848;7151161;7866476;8581791;9297106;10024115;10773175;11522235;12271295;13020355;13769415;14518475;15267535;16016595;16765655
-8,19,449031,279585,34290,0,0s;0.013s;0.017s;0.014s;0.026s;0.04s;0.053s;0.05s;0.062s;0.087s;0.093s;0.104s;0.098s;0.142s;0.149s;0.128s;0.174s;0.173s;0.181s;0.436s,0.019s;0.034s;0.069s;0.118s;0.13s;0.153s;0.192s;0.228s;0.276s;0.327s;0.328s;0.417s;0.444s;0.447s;0.477s;0.552s;0.572s;0.599s;0.613s;0.65s,0s;0s;0s;0s;0s;0s;0.002s;0s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s;0s,25067520;25825280;25837568;27832320;26968064;29978624;28098560;28663808;31682560;29921280;30609408;33652736;31825920;32436224;35483648;33656832;34263040;37326848;35528704;36167680,25079808;25845760;25858048;26406912;26988544;29978624;28119040;28684288;31682560;30015488;30621696;33652736;31838208;32448512;35483648;33669120;34275328;37326848;35540992;48463872,262303;811349;1404107;1996865;2589623;3182381;3775139;4375583;5088719;5721445;6358337;6995229;7632121;8269014;8905907;9542800;10195857;10862695;11529533;12196371
-9,31,840279,517774,71578,0,0.001s;0.003s;0.013s;0.018s;0.031s;0.046s;0.062s;0.084s;0.083s;0.109s;0.13s;0.128s;0.147s;0.172s;0.188s;0.199s;0.208s;0.227s;0.222s;0.24s;0.252s;0.293s;0.295s;0.32s;0.326s;0.335s;0.363s;0.376s;0.393s;0.427s;0.4s;1.107s,0.012s;0.055s;0.104s;0.121s;0.148s;0.194s;0.275s;0.28s;0.301s;0.36s;0.411s;0.443s;0.466s;0.561s;0.599s;0.646s;0.645s;0.746s;0.709s;0.727s;0.787s;0.833s;0.882s;0.939s;0.992s;1.126s;1.158s;1.222s;1.266s;1.413s;1.413s;1.386s,0s;0s;0.001s;0s;0s;0s;0s;0s;0.004s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s,25149440;25395200;26001408;26910720;28008448;27959296;28606464;31436800;32206848;30732288;33599488;34299904;32829440;35700736;36401152;37130240;37867520;38600704;39337984;37904384;40812544;41549824;42283008;43020288;41582592;44490752;45223936;45961216;46686208;45228032;48115712;48828416,25153536;25407488;26013696;26910720;27312128;27971584;28618752;31436800;32206848;30744576;33599488;34299904;32841728;35700736;36401152;37130240;37867520;38600704;39337984;37916672;40812544;41549824;42283008;43020288;41594880;44490752;45223936;45961216;46686208;45240320;48115712;54226944,280284;914073;1595832;2277591;2959350;3641109;4329418;5134055;5861666;6589276;7321627;8053979;8786331;9518683;10277854;11045031;11812208;12579385;13346562;14113739;14880916;15648093;16415270;17182447;17949624;18716801;19483978;20239785;20986064;21732343;22478622;23224901
-10,16,467617,289233,23944,0,0s;0s;0.014s;0.027s;0.03s;0.04s;0.035s;0.053s;0.086s;0.093s;0.107s;0.118s;0.132s;0.186s;0.226s;0.224s;0.359s,0.019s;0.049s;0.093s;0.133s;0.17s;0.213s;0.258s;0.307s;0.333s;0.373s;0.427s;0.515s;0.587s;0.613s;0.68s;0.682s;0.747s,0s;0s;0.013s;0s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s;0.001s;0.001s,25427968;26025984;26099712;28962816;29655040;30351360;28876800;31809536;32591872;33333248;34078720;32657408;35577856;36327424;37105664;37892096;36507648,25427968;26038272;26112000;26804224;29655040;30351360;28889088;31809536;32591872;33333248;34078720;32669696;35577856;36327424;37105664;37892096;41349120,291739;971239;1700685;2430131;3159577;3889023;4682581;5499207;6277602;7055997;7839431;8622866;9406301;10217160;11038040;11858920;12679800
