index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
-1,18,519373,320900,33308,0,0s;0.003s;0.01s;0.026s;0.029s;0.047s;0.059s;0.071s;0.092s;0.107s;0.114s;0.14s;0.148s;0.171s;0.183s;0.191s;0.197s;0.224s;0.409s,0.012s;0.066s;0.084s;0.133s;0.151s;0.19s;0.25s;0.27s;0.361s;0.372s;0.368s;0.46s;0.521s;0.518s;0.597s;0.596s;0.684s;0.723s;0.728s,0s;0.001s;0s;0s;0s;0s;0s;0s;0s;0s;0.005s;0s;0.001s;0s;0s;0s;0s;0s;0s,23683072;24231936;24883200;27553792;26288128;26980352;27672576;30355456;31137792;31879168;32620544;33361920;34099200;34844672;35618816;36397056;37183488;37961728;36769792,23932928;24252416;24903680;25612288;26308608;26996736;27693056;30355456;31137792;31879168;32620544;33361920;34099200;34848768;35618816;36401152;37183488;37961728;40161280,286398;957470;1678340;2399210;3120080;3840950;4614521;5430197;6199502;6968806;7743102;8517398;9291694;10087079;10898380;11709681;12520982;13332283;14143584
1,18,1,-1,-1,-1,0.005s;0.005s;0.057s;0.116s;0.163s;0.211s;0.257s;0.313s;0.34s;0.41s;0.485s;0.537s;0.579s;0.627s;0.713s;0.792s;0.776s;0.805s;-1,0.017s;0.113s;0.199s;0.314s;0.377s;0.486s;0.575s;0.687s;0.814s;0.919s;1.011s;1.186s;1.271s;1.394s;1.465s;1.745s;1.677s;1.742s;-1,0s;0s;0.005s;0s;0.003s;0s;0s;0s;0s;0s;0.002s;0s;0s;0s;0s;0s;0.001s;0s;-1,23719936;24375296;25894912;27521024;29270016;31141888;32772096;34709504;36421632;38354944;40071168;42008576;43675648;45572096;47239168;49127424;50855936;52756480;-1,23973888;24391680;25911296;27537408;29286400;31141888;32788480;34709504;36433920;38359040;40083456;42008576;43692032;45572096;47251456;49135616;50880512;52756480;-1,447046;2042341;3740662;5558135;7396258;9215472;11116492;13017512;14918532;16819552;18722217;20580650;22439083;24297516;26155949;28014382;29872815;31731248;-1
-2,34,995397,611421,23805,0,0s;0.003s;0.015s;0.018s;0.026s;0.032s;0.045s;0.048s;0.055s;0.052s;0.058s;0.066s;0.093s;0.107s;0.116s;0.11s;0.19s;0.19s;0.2s;0.209s;0.213s;0.232s;0.248s;0.259s;0.255s;0.267s;0.254s;0.252s;0.284s;0.277s;0.32s;0.316s;0.35s;0.382s;0.769s,0.011s;0.053s;0.077s;0.115s;0.17s;0.207s;0.253s;0.287s;0.329s;0.376s;0.409s;0.474s;0.572s;0.534s;0.61s;0.642s;0.701s;0.836s;0.855s;0.833s;0.878s;0.964s;1.076s;1.091s;1.078s;1.171s;1.226s;1.318s;1.292s;1.337s;1.345s;1.41s;1.448s;1.532s;1.588s,0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0.001s;0s;0s;0s;0s;0s;0.002s;0s,24068096;24936448;24997888;25698304;26394624;27107328;27807744;28590080;29368320;30126080;30875648;31637504;32391168;33153024;33939456;34721792;35520512;36315136;37154816;37953536;38748160;39546880;40345600;41140224;41934848;42729472;43511808;44281856;45056000;45813760;46551040;47321088;48095232;48873472;49643520,24072192;24956928;25014272;25718784;26411008;27123712;27824128;28598272;29392896;30130176;30896128;31641600;32411648;33157120;33959936;34742272;35536896;36372480;37171200;37965824;38768640;39563264;40361984;41152512;41951232;42745856;43528192;44294144;45072384;45842432;46571520;47341568;48111616;48885760;71077888,300237;986447;1722755;2459063;3195371;3931679;4744033;5559263;6344990;7130716;7921533;8712350;9503167;10326998;11155600;11984202;12812804;13641406;14470008;15298610;16127212;16955814;17784416;18613018;19441620;20253200;21059128;21865056;22670984;23476912;24282840;25088768;25894696;26700624;27506552
2,28,1,-1,-1,-1,0s;0.005s;0.046s;0.092s;0.126s;0.178s;0.231s;0.268s;0.314s;0.371s;0.454s;0.471s;0.529s;0.592s;0.618s;0.67s;0.711s;0.776s;0.797s;0.841s;0.886s;0.924s;1.012s;1.018s;1.086s;1.162s;1.227s;1.18s;-1,0.015s;0.091s;0.197s;0.249s;0.334s;0.421s;0.536s;0.641s;0.691s;0.794s;0.92s;1.161s;1.129s;1.262s;1.376s;1.477s;1.635s;1.625s;1.766s;1.804s;1.876s;1.935s;2.117s;2.168s;2.231s;2.363s;2.329s;2.401s;-1,0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0.001s;0s;0.001s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.005s;0s;0s;0s;0s;-1,24010752;24416256;25825280;27451392;29057024;30584832;32309248;33865728;35676160;37257216;39067648;40660992;42463232;44003328;45776896;47321088;49090560;50638848;52408320;53948416;55721984;57262080;59031552;60579840;62312448;63971328;65515520;67284992;-1,24035328;24440832;25849856;27451392;29057024;30605312;32309248;33886208;35676160;37277696;39067648;40681472;42463232;44027904;45776896;47341568;49090560;50659328;52408320;53968896;55721984;57282560;59031552;60563456;62312448;63975424;65531904;67284992;-1,425480;1910246;3490939;5169469;6880317;8566095;10309803;12079167;13848531;15617895;17397809;19158325;20888085;22617845;24347605;26077365;27807125;29536885;31266645;32996405;34726165;36455925;38185685;39915445;41645205;43374965;45104725;46866873;-1
3,49,1,-1,-1,-1,0s;0.007s;0.051s;0.112s;0.152s;0.233s;0.266s;0.33s;0.368s;0.417s;0.454s;0.542s;0.589s;0.588s;0.675s;0.702s;0.811s;0.849s;0.888s;1.015s;0.966s;1.013s;1.121s;1.142s;1.151s;1.205s;1.31s;1.315s;1.418s;1.408s;1.658s;1.469s;1.497s;1.617s;1.595s;1.608s;1.699s;1.686s;1.723s;1.765s;1.829s;2.008s;1.985s;1.924s;1.952s;1.974s;2.005s;2.019s;2.27s;-1,0.015s;0.122s;0.186s;0.285s;0.413s;0.451s;0.558s;0.669s;0.726s;0.904s;0.972s;1.052s;1.277s;1.299s;1.395s;1.545s;1.699s;1.828s;1.746s;1.83s;1.907s;1.987s;2.131s;2.138s;2.334s;2.313s;2.375s;2.531s;2.62s;2.669s;2.657s;2.655s;2.73s;2.814s;2.818s;2.916s;3.033s;3.094s;3.201s;3.242s;3.346s;3.475s;3.655s;3.587s;3.654s;3.828s;3.826s;3.828s;4.323s;-1,0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.005s;0s;0s;0s;0s;0s;0s;0s;0s;0.002s;0s;0s;0s;0.002s;0s;0s;0s;0.001s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.005s;0s;0.001s;0s;0s;0s;0s;0s;-1,24068096;24481792;25952256;29433856;29179904;32792576;32538624;36200448;36032512;39706624;39538688;43220992;43024384;46657536;46448640;50081792;49872896;53506048;53297152;56930304;56721408;60354560;60145664;63774720;63565824;67198976;66990080;70656000;70590464;74657792;76742656;76636160;80367616;80257024;83992576;83881984;87617536;87511040;91242496;91131904;94871552;94765056;98476032;100651008;100552704;104292352;104194048;107933696;107835392;-1,24088576;24502272;25972736;29433856;29196288;32792576;32555008;36200448;36048896;39706624;39555072;43220992;43040768;46657536;46465024;50081792;49889280;53506048;53313536;56930304;56737792;60354560;60162048;63774720;63582208;67198976;67006464;70656000;70606848;74731520;76742656;76652544;80367616;80273408;83992576;83902464;87617536;87527424;91242496;91148288;94871552;94781440;98476032;100651008;100569088;104292352;104210432;107933696;107851776;-1,434969;1969438;3603107;5344251;7112438;8854708;10672893;12501569;14330245;16158921;17998498;19798787;21586518;23374249;25161980;26949711;28737442;30525173;32312904;34100635;35888366;37676097;39463828;41251559;43039290;44827021;46642449;48572781;50797321;52884459;54772153;56659847;58547541;60435234;62322928;64210622;66098315;67986009;69873703;71761397;73649091;75536785;77787317;79683650;81579983;83476316;85372648;87268981;89165314;-1
4,21,1351548,818568,66055,0,0s;0s;0.064s;0.109s;0.14s;0.181s;0.215s;0.276s;0.346s;0.354s;0.419s;0.471s;0.514s;0.6s;0.658s;0.671s;0.752s;0.8s;0.832s;0.85s;0.937s;1.809s,0.015s;0.113s;0.172s;0.296s;0.343s;0.498s;0.551s;0.651s;0.691s;0.869s;0.924s;1.061s;1.217s;1.253s;1.379s;1.441s;1.543s;1.691s;1.745s;1.757s;1.86s;1.963s,0.001s;0s;0s;0s;0s;0s;0s;0.001s;0s;0s;0s;0s;0s;0s;0.009s;0s;0s;0s;0s;0s;0s;0s,24199168;24584192;26017792;27553792;31109120;30851072;34410496;34193408;37838848;37642240;41283584;41099264;44724224;44486656;48091136;47853568;51458048;51220480;54824960;54587392;58187776;57950208,24207360;24600576;26038272;27570176;31109120;30867456;34410496;34209792;37838848;37658624;41283584;41115648;44724224;44503040;48091136;47869952;51458048;51236864;54824960;54603776;58187776;131239936,429999;1938807;3545123;5253982;6992584;8705701;10485553;12283636;14081719;15879802;17688606;19468274;21226096;22983918;24741740;26499562;28257384;30015206;31773028;33530850;35288672;37046494
5,12,751100,457512,23296,0,0.001s;0s;0.038s;0.092s;0.098s;0.131s;0.171s;0.239s;0.246s;0.31s;0.346s;0.377s;0.618s,0.019s;0.098s;0.165s;0.251s;0.386s;0.467s;0.555s;0.609s;0.692s;0.838s;0.893s;1.025s;1.138s,0s;0s;0s;0.001s;0s;0s;0.016s;0s;0s;0s;0s;0s;0s,24518656;24612864;26009600;27496448;29073408;30683136;32268288;33902592;35569664;37236736;38903808;40583168;42254336,24518656;24633344;26030080;27512832;29089792;30699520;32284672;33918976;35586048;37253120;38920192;40599552;42717184,420492;1880549;3435051;5082624;6765125;8422983;10129680;11869703;13609726;15349749;17100152;18841213;20542314
6,10,659461,402418,21836,0,0s;0s;0.048s;0.088s;0.124s;0.204s;0.228s;0.288s;0.333s;0.378s;0.668s,0.015s;0.092s;0.208s;0.262s;0.4s;0.492s;0.586s;0.666s;0.885s;0.846s;1.018s,0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s,24252416;24633344;26099712;27660288;29327360;31019008;32686080;34430976;36184064;37937152;39690240,24260608;24653824;26120192;27676672;29343744;31035392;32702464;34447360;36200448;37953536;68198400,435364;1970374;3604469;5346098;7114737;8857447;10676357;12505513;14334669;16163825;18003881
7,23,1,-1,-1,-1,0s;0.016s;0.047s;0.07s;0.11s;0.154s;0.173s;0.212s;0.271s;0.307s;0.334s;0.376s;0.421s;0.472s;0.513s;0.507s;0.567s;0.662s;0.658s;0.698s;0.739s;0.784s;0.819s;-1,0.021s;0.098s;0.161s;0.288s;0.334s;0.441s;0.58s;0.642s;0.735s;0.915s;1.021s;1.054s;1.161s;1.321s;1.387s;1.428s;1.741s;1.644s;1.728s;1.797s;1.94s;1.974s;2.075s;-1,0s;0.001s;0s;0s;0.004s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.014s;0s;0s;0s;0s;0s;-1,24285184;24662016;26112000;27652096;29290496;30961664;32604160;34336768;36065280;37793792;39522304;41263104;42971136;44658688;46346240;48037888;49725440;51412992;53100544;54788096;56479744;58167296;59854848;-1,24301568;24690688;26140672;27676672;29315072;30986240;32628736;34361344;36089856;37818368;39546880;41287680;42995712;44683264;46370816;48062464;49750016;51437568;53125120;54812672;56504320;58191872;59879424;-1,431077;1944565;3555843;5270486;7014422;8732801;10519445;12323030;14126615;15930200;17744536;19528044;21291254;23054464;24817674;26580884;28344094;30107304;31870514;33633724;35396934;37160144;38923354;-1
8,19,1203630,729687,70852,0,0s;0.016s;0.049s;0.084s;0.155s;0.174s;0.238s;0.271s;0.339s;0.346s;0.387s;0.471s;0.507s;0.531s;0.597s;0.65s;0.728s;0.764s;0.786s;13.662s,0.017s;0.112s;0.195s;0.257s;0.378s;0.432s;0.567s;0.667s;0.728s;0.836s;0.929s;1.099s;1.179s;1.298s;1.371s;1.368s;1.553s;1.601s;1.746s;1.792s,0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0s;0.012s;0s;0s;0s;0s;0s,24309760;24682496;26099712;27611136;29216768;30851072;32464896;34136064;35831808;37527552;39223296;40927232;45252608;44273664;45928448;50221056;49242112;50896896;55189504;54210560,24317952;24702976;26120192;27627520;29233152;30867456;32481280;34152448;35848192;37543936;39239680;40943616;45252608;44290048;45944832;50221056;49258496;50913280;55189504;965742592,425392;1909985;3490593;5168965;6879697;8565370;10308693;12077912;13847131;15616350;17396119;19156802;20886441;22616080;24345719;26075358;27804997;29534636;31264275;32993914
