index,t_solve_list,t_ground_list,ground_file_bytes_list
-1,0.001s;0.005s;0.007s;0.011s;0.013s;0.017s;0.019s;0.024s;0.026s;0.028s;0.032s;0.037s;0.041s;0.043s;0.052s;0.052s;0.055s;0.061s;0.066s;0.068s;0.075s;0.079s;0.084s;0.089s;0.096s;0.103s;0.11s;0.117s;0.127s;0.133s;0.143s,0.015s;0.095s;0.135s;0.173s;0.215s;0.263s;0.301s;0.333s;0.375s;0.438s;0.49s;0.541s;0.615s;0.681s;0.743s;0.84s;0.888s;0.98s;1.056s;1.143s;1.229s;1.298s;1.411s;1.493s;1.658s;1.702s;1.806s;1.984s;2.102s;2.164s;2.285s,352802;2814659;4252594;5688775;7198810;8656100;10120278;11640234;13218247;14807804;16412209;18032793;19672422;21333940;23020535;24735373;26482152;28252076;30044371;31872632;33747382;35708416;37730085;39818427;41974466;44203566;46511366;48903680;51386529;53966183;56649059
-2,0s;0.001s;0.001s;0.001s;0.006s;0.008s;0.01s;0.011s;0.015s,0.01s;0.022s;0.023s;0.024s;0.029s;0.033s;0.031s;0.033s;0.052s,285454;329210;355710;383057;411606;441783;474085;509080;547407
-3,0.001s;0.002s;0.003s;0.091s;0.13s;0.178s;0.228s;0.28s;0.348s;0.406s;0.487s;0.571s;0.65s;0.759s;0.906s;1.083s;1.216s;1.502s;1.77s;2.299s;2.529s;2.876s;3.409s;3.896s;4.356s;5.068s;5.8s;6.818s;7.586s;8.984s;10.094s,0.015s;0.062s;0.075s;0.093s;0.117s;0.133s;0.156s;0.182s;0.201s;0.224s;0.265s;0.295s;0.33s;0.367s;0.419s;0.448s;0.509s;0.57s;0.619s;0.674s;0.743s;0.817s;0.899s;0.977s;1.077s;1.186s;1.325s;1.455s;1.574s;1.732s;1.899s,321361;1291163;1853283;2424576;3002266;3590665;4244367;4871861;5523366;6244267;7015410;7821482;8646289;9532747;10495133;11539180;12680863;13935503;15316925;16843172;18556601;20455196;22557547;24886421;27466138;30322702;33483807;36978850;40837427;45101907;49775610
-4,0.001s;0.002s;0.004s;0.004s;0.005s;0.006s;0.008s;0.009s;0.011s;0.011s;0.013s;0.013s;0.015s;0.017s;0.018s;0.02s;0.02s;0.022s;0.022s;0.024s;0.025s;0.032s;0.031s;0.03s;0.033s;0.034s;0.035s;0.037s;0.037s;0.04s;0.044s,0.016s;0.057s;0.073s;0.094s;0.112s;0.13s;0.153s;0.187s;0.225s;0.251s;0.287s;0.322s;0.353s;0.403s;0.44s;0.47s;0.529s;0.55s;0.61s;0.636s;0.674s;0.768s;0.785s;0.838s;0.896s;0.958s;1.044s;1.063s;1.155s;1.18s;1.279s,341315;1335936;1899207;2467429;3033782;3601386;4175666;4778855;5351158;5924321;6497147;7076379;7691966;8307587;8923181;9538796;10154388;10769998;11385617;12001213;12599111;13189707;13783928;14377587;14974199;15581254;16195230;16809205;17423171;18037132;18651109
-5,0s;0.022s;0.043s;0.093s,0.014s;0.052s;0.07s;0.086s,318429;1317345;1866064;2420966
-6,0s;0.001s;0.002s;0.002s;0.048s;0.063s;0.076s;0.095s;0.266s,0.011s;0.029s;0.036s;0.043s;0.05s;0.057s;0.078s;0.08s;0.085s,293009;700590;935738;1174288;1416238;1661949;1915210;2172670;2436555
-7,0.047s;0.088s;0.122s;0.148s;0.18s;0.212s;0.244s;0.273s;0.31s;0.338s;0.369s;0.402s;0.445s;0.467s;0.504s;0.533s;0.57s;0.603s;0.635s;0.66s;0.694s;0.755s;0.763s;0.793s;0.825s;0.854s;0.896s;0.929s;0.965s;1.035s;1.05s,0.508s;1.215s;1.698s;2.226s;2.722s;3.189s;3.695s;4.238s;4.848s;5.401s;6.012s;6.721s;7.519s;8.042s;8.7s;9.446s;10.252s;11.014s;12.133s;12.71s;14.033s;14.433s;15.792s;16.559s;16.973s;18.037s;19.129s;19.991s;20.888s;22.606s;23.513s,9386206;29146219;41380328;53617377;65854547;78091823;90329205;102566663;114895082;127160331;139436706;151874296;164383472;176839307;189408008;201994674;214494362;226999972;239598085;252170696;264670835;277176920;289769205;302403739;314956806;327453164;339974848;352606071;365165693;377746407;390240337
-8,0.001s;0.028s;0.043s;0.062s;0.087s;0.117s;0.195s,0.012s;0.033s;0.045s;0.055s;0.07s;0.075s;0.085s,305930;761650;1037597;1319480;1611075;1915541;2232026
-9,0.001s;0.005s;0.007s;0.013s;0.012s;0.016s;0.02s;0.025s;0.028s;0.034s;0.036s;0.04s;0.045s;0.048s;0.055s;0.059s;0.063s;0.068s;0.074s;0.079s;0.085s;0.094s;0.103s;0.108s;0.116s;0.125s;0.135s;0.141s;0.149s;0.163s;0.171s,0.016s;0.083s;0.114s;0.149s;0.188s;0.224s;0.263s;0.323s;0.374s;0.449s;0.499s;0.539s;0.615s;0.686s;0.737s;0.85s;0.891s;0.973s;1.033s;1.142s;1.182s;1.281s;1.409s;1.451s;1.576s;1.686s;1.765s;1.885s;2.011s;2.149s;2.266s,369354;2832096;4290886;5773753;7247095;8724401;10313689;11927702;13555047;15198479;16817493;18434688;20078374;21756459;23483172;25256573;27108992;29011409;30969496;32989032;35076133;37237236;39479126;41808667;44233230;46760411;49398088;52154461;55037994;58057427;61221822
-10,0.001s;0.129s;0.295s;0.524s;0.836s;1.188s,0.017s;0.104s;0.157s;0.21s;0.264s;0.314s,348062;4051436;6311968;8542962;10920779;13190266
