index,t_solve_list,t_ground_list,ground_file_bytes_list
1,0.011s;0.403s;0.66s;-1,4.017s;12.44s;17.956s;-1,13901210;352188374;528591360;-1
2,0.011s;0.411s;0.737s;-1,4.007s;15.429s;21.298s;-1,12788631;332295313;505539152;-1
3,0.01s;0.444s;-1,4.597s;16.685s;-1,14586718;379313416;-1
4,0.011s;0.466s;0.821s;1.249s;-1,4.333s;17.544s;21.859s;27.979s;-1,13977029;362636449;551645144;740653839;-1
5,0.01s;0.353s;0.587s;-1,3.735s;11.278s;16.641s;-1,12861195;322913552;484669656;-1
6,0.01s;0.726s;1.534s;-1,3.774s;15.21s;22.296s;-1,12986068;399590864;640309725;-1
7,0.011s;0.437s;0.771s;-1,4.021s;14.085s;25.358s;-1,13530906;324686304;536252347;-1
8,0.01s;0.607s;1.347s;-1,4.043s;17.396s;23.548s;-1,13674390;392810505;618023075;-1
9,0.011s;0.868s;1.66s;-1,4.18s;17.403s;23.951s;-1,13063818;403076839;645679205;-1
10,0.011s;0.726s;-1,4.609s;18.14s;-1,13876270;404210392;-1
11,0.011s;0.749s;-1,4.872s;20.533s;-1,14612291;421103150;-1
12,0.01s;0.371s;0.626s;-1,3.995s;14.807s;20.434s;-1,13053916;328037635;492355244;-1
13,0.012s;0.467s;0.808s;-1,5.416s;20.745s;25.808s;-1,13845942;357502571;543842831;-1
14,0.011s;0.408s;0.678s;-1,4.381s;13.574s;19.567s;-1,14249553;356753512;535430980;-1
15,0.01s;0.419s;0.796s;1.157s;-1,3.849s;13.98s;21.509s;26.744s;-1,13276003;345019962;524840577;704661752;-1
16,0.011s;0.39s;0.673s;-1,4.542s;13.621s;22.128s;-1,14048606;350908121;526662404;-1
17,0.012s;0.412s;0.679s;-1,5.894s;17.138s;20.477s;-1,14662097;366648656;550280444;-1
18,0.011s;0.427s;0.792s;-1,3.968s;14.025s;24.744s;-1,13546046;351088143;534069270;-1
19,0.011s;0.441s;-1,5.634s;21.561s;-1,14868265;372635703;-1
20,0.01s;0.428s;-1,5.755s;20.869s;-1,14454334;361673455;-1
21,0.011s;0.446s;0.815s;-1,4.575s;17.742s;23.7s;-1,14151562;366518729;557519223;-1
22,0.011s;0.382s;0.638s;0.902s;-1,4.031s;12.505s;18.441s;25.173s;-1,13870038;348355941;522839163;697322945;-1
23,0.011s;0.447s;0.782s;-1,4.123s;15.424s;28.246s;-1,13949192;364729050;554787530;-1
24,0.011s;0.498s;1.005s;-1,3.816s;14.631s;22.589s;-1,13154001;355512284;549655284;-1
25,0.011s;0.722s;1.347s;-1,4.299s;17.64s;25.328s;-1,13649517;391560649;616109443;-1
26,0.01s;0.86s;1.572s;-1,3.626s;15.517s;22.693s;-1,12803557;416056536;664480224;-1
27,0.011s;0.727s;1.397s;-1,4.485s;18.64s;26.278s;-1,14203767;413038372;649466174;-1
28,0.011s;0.497s;0.802s;-1,4.895s;22.112s;24.379s;-1,14456297;373338010;567903993;-1
29,0.01s;-1,4.112s;-1,13076985;-1
30,0.011s;1.148s;-1,5.204s;24.08s;-1,14606091;478492688;-1
31,0.011s;0.54s;-1,5.116s;20.743s;-1,14395463;385786162;-1
32,0.011s;0.38s;0.636s;-1,4.926s;12.901s;18.054s;-1,13685403;339819763;509981264;-1
33,0.013s;0.687s;1.357s;-1,5.084s;20.541s;24.257s;-1,13789833;391742818;616418457;-1
34,0.011s;0.897s;1.643s;-1,4.234s;16.167s;23.635s;-1,13888601;423045561;677771863;-1
35,0.011s;0.666s;1.298s;-1,3.683s;14.762s;21.142s;-1,13071857;373733434;587993169;-1
36,0.011s;0.43s;0.771s;-1,4.152s;14.695s;20.747s;-1,13790519;358790942;545626297;-1
37,0.011s;0.765s;1.466s;-1,4.713s;24.513s;25.42s;-1,15020540;429201001;540868757;-1
38,0.011s;0.399s;0.648s;4.143s,4.184s;12.739s;18.698s;25.063s,14087922;351008888;526803470;702600292
39,0.011s;0.485s;1.033s;-1,4.559s;15.054s;21.801s;-1,13790458;371430875;574062948;-1
40,0.011s;0.358s;0.596s;3.669s,3.96s;12.051s;17.897s;23.313s,13288784;330129596;495460599;660792162
41,0.011s;0.684s;1.284s;-1,4.451s;14.813s;21.576s;-1,13026479;378025686;594348375;-1
42,0.011s;0.429s;0.769s;-1,4.022s;13.94s;19.488s;-1,13509885;346970565;527800955;-1
43,0.011s;0.7s;1.371s;-1,4.184s;15.893s;22.867s;-1,14040258;398731362;627408460;-1
