index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
-1,0.107126;0.089044;0.096738;0.104201;0.118914;0.130386;0.145283;0.152294;0.163518;0.172671;0.185461;0.196982;0.214957;0.221699;0.234061;0.246059;0.258588;0.272153;0.293665;0.302762;0.310691;0.323737;0.336272;0.352748;0.368708;0.384103;0.401363;0.41317;0.423986;0.439399,0.002527;0.000994;0.001813;0.002355;0.003759;0.004067;0.004736;0.005283;0.005392;0.005992;0.006693;0.006529;0.008564;0.007951;0.008862;0.010858;0.011015;0.011577;0.013321;0.014524;0.014809;0.016816;0.017473;0.02191;0.021515;0.025176;0.025756;0.028501;0.031909;0.033631,406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406,0;8797;11553;14904;19251;25417;31654;37971;44396;50961;57702;64659;71876;79401;87286;95587;104364;113681;123606;134211;145572;157769;170886;185011;200236;216657;234374;253491;274116;296361,0;7890;9091;10401;11854;13409;14965;16522;18080;19639;21199;22760;24322;25885;27449;29014;30580;32147;33715;35284;36854;38425;39997;41570;43144;44719;46295;47872;49450;51029,1;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,79;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80,401788;520143;663846;849357;1106477;1363587;1620681;1886172;2160054;2438104;2728716;3031899;3347645;3675945;4029411;4399614;4794959;5219642;5673646;6161164;6686388;7253506;7862508;8525995;9239740;10012138;10847377;11749645;12727333;13780416
-2,0.083528;0.063643;0.064475;0.067561;0.067748;0.067306;0.07014;0.069588;0.071289;0.074228,0.001339;0.00036;0.000348;0.000436;0.000501;0.000528;0.000567;0.000752;0.001131;0.018401,374;374;374;374;374;374;374;374;374;374,0;7068;7182;7319;7461;7659;7876;8124;8417;8771,0;7061;7186;7318;7465;7626;7789;7954;8121;8290,1;17;17;17;17;17;17;17;17;17,16;0;0;0;0;0;0;0;0;0,17;17;17;17;17;17;17;17;17;17,321299;325546;334019;342487;350971;359455;372162;384876;397607;414554
-3,0.092563;0.080807;0.085436;0.089433;0.097612;0.10313;0.109889;0.116188;0.125947;0.132846;0.144289;0.151314;0.157107;0.165691;0.179258;0.184345;0.197909;0.21002;0.220323;0.23261;0.248552;0.259723;0.277824;0.293698;0.302697;0.326372;0.347273;0.36539;0.385715;0.403588,0.001923;0.000742;0.00107;0.001895;0.002227;0.003148;0.003337;0.00559;0.005857;0.006902;0.007742;0.006878;0.009499;0.008474;0.010862;0.013283;0.015336;0.020206;0.024844;0.028935;0.033477;0.067934;0.052698;0.061097;0.059657;0.071988;0.08477;0.095142;0.144215;0.106446,413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413,0;8074;9429;11163;13398;16149;19048;22090;25357;28934;32922;37419;42485;48340;55155;63122;72455;83391;96191;111141;128313;148254;171329;197912;228440;263340;303117;348289;399408;457061,0;7608;8397;9295;10269;11271;12276;13285;14298;15315;16336;17361;18390;19423;20460;21501;22546;23595;24648;25705;26766;27831;28900;29973;31050;32131;33216;34305;35398;36495,1;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,53;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38,54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54,368001;435454;515527;616639;742935;877540;1016354;1163589;1323450;1495958;1689503;1904114;2148208;2421837;2741798;3108140;3529306;4017917;4578250;5218738;5952058;6790871;7752018;8848191;10092071;11504732;13098894;14891468;16907735;19160427
-4,0.10011;0.079424;0.086176;0.092103;0.099352;0.106048;0.10959;0.118072;0.12958;0.131027;0.141072;0.143869;0.156903;0.160635;0.164678;0.167401;0.179757;0.18279;0.187906;0.19735;0.206279;0.216201;0.219459;0.221007;0.228625;0.235176;0.246361;0.250356;0.259068;0.263954,0.002226;0.000886;0.001245;0.001449;0.001967;0.002035;0.002279;0.002491;0.002788;0.002857;0.003397;0.003297;0.003599;0.003592;0.00359;0.00363;0.00411;0.004416;0.004382;0.004432;0.004986;0.004854;0.005066;0.005006;0.005773;0.005658;0.005464;0.005725;0.007008;0.00605,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;8474;9675;11386;13141;15544;17951;20358;22765;25172;27579;29986;32393;34800;37207;39614;42021;44428;46835;49242;51649;54056;56463;58870;61277;63684;66091;68498;70905;73312,0;7783;8593;9522;10493;11489;12485;13481;14477;15473;16469;17465;18461;19457;20453;21449;22445;23441;24437;25433;26429;27425;28421;29417;30413;31409;32405;33401;34397;35393,1;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17,73;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57,74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74,389073;448139;528239;612550;722017;835623;949232;1062842;1176451;1290060;1403651;1517243;1630835;1744426;1858018;1971609;2085201;2198792;2312384;2425977;2539570;2653162;2766754;2880346;2993938;3107530;3221122;3334714;3448306;3561898
-5,0.092333;0.075777;0.082076;0.090365,0.001982;0.000708;0.00111;0.019244,384;384;384;384,0;7965;8971;10272,0;7468;8179;8962,1;26;26;26,47;22;22;22,48;48;48;48,363663;414399;473595;553856
-6,0.085955;0.068869;0.071359;0.07736;0.082433;0.082587;0.090818;0.091559;0.094689,0.001396;0.00054;0.000725;0.001034;0.001467;0.001561;0.002641;0.0039;0.019463,382;382;382;382;382;382;382;382;382,0;7208;7805;8477;9568;10824;12110;13438;14826,0;7202;7614;8089;8630;9187;9744;10301;10858,1;12;12;12;12;12;12;12;12,26;15;15;15;15;15;15;15;15,27;27;27;27;27;27;27;27;27,329762;359341;393134;439575;494461;549349;608450;667550;730781
-7,0.753659;0.392334;0.469843;0.553518;0.618666;0.685692;0.752825;0.814956;0.876625;0.942707;1.020292;1.085632;1.218865;1.273488;1.292968;1.34435;1.458037;1.520203;1.532215;1.592414;1.653133;1.728705;1.799421;1.862029;1.90579;1.99666;2.053664;2.115643;2.169847;2.225026,0.389272;0.037369;0.050594;0.071696;0.084498;0.086333;0.09156;0.100813;0.105112;0.122244;0.116237;0.127087;0.136273;0.132176;0.147223;0.155699;0.194582;0.165517;0.158931;0.166155;0.172195;0.181987;0.184883;0.197907;0.197776;0.207147;0.208311;0.232389;0.227784;0.228039,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;258893;309563;368297;436483;513808;591144;668482;745822;823164;900508;977854;1055202;1132552;1209904;1287258;1364614;1441972;1519332;1596694;1674058;1751424;1828792;1906162;1983534;2060908;2138284;2215662;2293042;2370424,0;23002;29675;36878;44347;51930;59514;67099;74685;82272;89860;97449;105039;112630;120222;127815;135409;143004;150600;158197;165795;173394;180994;188595;196197;203800;211404;219009;226615;234222,22;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28,215;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209,237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237,10176919;12862990;15921944;19416215;23292280;27168345;31048628;34924694;38804978;42681043;46565372;50449699;54334002;58414960;62536896;66658831;70776557;74898493;79020430;83142366;87264302;91386236;95503965;99625902;103747839;107869776;111991714;116113651;120235588;124361730
-8,0.087228;0.072935;0.076918;0.080165;0.081089;0.087436;0.091497;0.097118,0.001643;0.000577;0.001154;0.001551;0.001679;0.0027;0.004088;0.02492,389;389;389;389;389;389;389;389,0;7718;8751;9936;11745;13408;15188;17103,0;7357;7886;8502;9179;9800;10420;11040,1;11;11;11;23;23;23;23,34;24;24;24;12;12;12;12,35;35;35;35;35;35;35;35,350995;401524;460465;540450;603968;671696;747801;832195
-9,0.095127;0.092408;0.097078;0.108259;0.118268;0.129474;0.139828;0.149729;0.161968;0.174535;0.183296;0.199533;0.20455;0.218607;0.229314;0.240055;0.25039;0.266803;0.27744;0.291696;0.301048;0.313283;0.327236;0.341786;0.366252;0.370631;0.380707;0.395478;0.411828;0.424408,0.002894;0.001131;0.001665;0.003156;0.004326;0.004313;0.00549;0.005289;0.006427;0.006674;0.007062;0.00715;0.007519;0.009241;0.010182;0.009668;0.010863;0.012212;0.013497;0.013701;0.014955;0.015873;0.01783;0.021131;0.02086;0.023556;0.025196;0.026117;0.031222;0.032111,386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386,0;9104;13265;17832;23685;30842;38049;45298;52609;60006;67517;75174;83013;91074;99401;108042;117049;126478;136389;146846;157917;169674;182193;195554;209841;225142;241549;259158;278069;298386,0;7852;9052;10340;11780;13307;14836;16367;17900;19435;20972;22511;24052;25595;27140;28687;30236;31787;33340;34895;36452;38011;39572;41135;42700;44267;45836;47407;48980;50555,1;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39,68;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30,69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69,418516;587509;769208;1009493;1300331;1591166;1881996;2181224;2480434;2788039;3099798;3419931;3752645;4093719;4451561;4826160;5221713;5638198;6075630;6542383;7042662;7576443;8147926;8757109;9416572;10126294;10886286;11709119;12594783;13547474
-10,0.094596;0.100147;0.104431;0.125008;0.139733;0.155328;0.166031,0.002235;0.001286;0.002857;0.00756;0.009488;0.028012;0.03063,410;410;410;410;410;410;410,0;8552;14205;20368;30287;41156;52177,0;7894;9462;11207;13173;15193;17215,1;29;29;29;29;29;29,64;36;36;36;36;36;36,65;65;65;65;65;65;65,397499;641793;923680;1356800;1823559;2298724;2778065
