index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
1,9.803621;4.269904;5.59147;6.644509;7.305072;8.258307;9.629557;10.486216;11.543643;12.411381;13.414493;14.387445;15.268476;16.323217;17.285627;18.420435;19.20649;20.855437;21.188133;-1,0.398439;0.082222;0.16622;0.16202;0.183312;0.193386;0.206379;0.221151;0.252036;0.258941;0.268327;0.260706;0.267464;0.302166;0.319354;0.294459;0.317989;0.324591;0.334866;-1,400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;-1,0;333869;584880;921677;1259618;1598021;1936428;2274839;2613254;2951673;3290096;3628523;3966954;4305389;4643828;4982271;5320718;5659169;5997624;-1,0;333848;424760;516417;609439;702918;796398;889879;983361;1076844;1170328;1263813;1357299;1450786;1544274;1637763;1731253;1824744;1918236;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,28;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;-1,28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;-1,14999567;26112229;40015568;53927174;67851416;81779869;95704108;109632557;123708473;138648572;153768952;168889329;184009703;199130076;214250447;229370816;244495386;259615755;274736119;-1
2,8.748531;4.517066;5.607776;6.430383;7.535982;8.485733;9.340932;10.258208;11.376265;12.256632,0.350264;0.110298;0.157948;0.247488;0.341567;0.357266;0.422258;0.496327;0.533241;3.195484,375;375;375;375;375;375;375;375;375;375,0;308290;841405;1453431;2066608;2762276;3457963;4153681;4849444;5545262,0;308284;393467;479389;566698;654755;742814;830875;918938;1007003,0;7;7;7;7;7;7;7;7;7,7;0;0;0;0;0;0;0;0;0,7;7;7;7;7;7;7;7;7;7,13809718;33747249;56247152;78759534;103922755;129085975;154253409;179420843;204592490;230091797
3,10.424518;5.15746;6.318688;7.329168;8.512192;9.598278;10.801547;11.692109;12.742314;13.747224;15.531286;16.190177;17.341303;18.413693;19.11908;20.236017;21.394309;-1,0.434888;0.124291;0.190227;0.289028;0.404687;0.41697;0.492671;0.495802;0.624644;0.497441;0.564886;0.529271;0.562216;0.582652;0.618361;0.656725;0.671148;-1,410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;-1,0;349594;954589;1648928;2344443;3133110;3921849;4710701;5499705;6288904;7078130;7867616;8657323;9447527;10237904;11028415;11819347;-1,0;349579;445665;542512;640764;739793;838826;937863;1036904;1135949;1234996;1334046;1433099;1532156;1631215;1730276;1829340;-1,0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,16;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-1,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;-1,15731444;38352532;63878467;89412664;117944374;146480280;175016184;203695665;234521706;265536144;296657366;327782798;358933427;390092415;421255564;452439674;483627921;-1
4,9.662931;4.912311;6.142999;7.012372;8.26493;9.205026;10.042137;11.214754;12.296824;13.264631;14.54568;15.185532;16.197178;17.60236;18.372305;19.324927;20.457286;21.321831;-1,0.401385;0.116943;0.175903;0.278193;0.36167;0.378014;0.408109;0.410659;0.450728;0.445657;0.489372;0.490146;0.519948;0.537597;0.579324;0.567476;0.618054;0.598929;-1,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;-1,0;335567;916061;1582368;2249968;3007138;3764308;4521478;5278648;6035818;6792988;7550158;8307328;9064498;9821668;10578838;11336008;12093178;-1,0;335552;427902;521058;615772;711304;806836;902368;997900;1093432;1188964;1284496;1380028;1475560;1571092;1666624;1762156;1857688;-1,0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,30;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;-1,30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-1,15076625;36784839;61279539;85778273;113164572;140546658;167932958;195315044;222955301;252516465;282352123;312187779;342023435;371859091;401690540;431526196;461361852;491197509;-1
5,8.697714;3.937054;4.939844;5.797517,0.353515;0.071477;0.124087;1.546255,377;377;377;377,0;309945;543814;856597,0;309942;394821;480440,0;3;3;3,9;6;6;6,9;9;9;9,13886725;24239045;37157944;50085107
6,8.838019;8.151258;9.079833;9.968386;11.562336;12.522079;13.433888;-1,0.357457;0.232958;0.275552;1.10465;1.551415;1.730606;2.482719;-1,383;383;383;383;383;383;383;-1,0;312814;2673944;5115095;7557347;10334242;13111612;-1,0;312812;400153;488206;577593;668581;759568;-1,0;4;4;4;4;4;4;-1,10;6;6;6;6;6;6;-1,10;10;10;10;10;10;10;-1,14019421;92520837;173622666;254732766;346602989;438490126;530377257;-1
7,9.523711;4.741879;6.026831;6.90287;7.879458;8.76643;9.865768;10.874201;11.799985;12.753199;14.189396;14.69201;15.793462;16.899296;17.829642;18.797832;19.836854;20.598449;-1,0.383324;0.216751;0.304141;0.332835;0.354622;0.389589;0.401921;0.425067;0.430382;0.460728;0.496873;0.501451;0.519101;0.543546;0.565653;0.674291;0.610337;0.610884;-1,388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;-1,0;325305;885938;1617892;2351031;3084652;3818275;4551900;5285527;6019156;6752787;7486420;8220055;8953692;9687331;10420972;11154615;11888260;-1,0;325332;414738;505210;597102;689469;781837;874206;966576;1058947;1151319;1243692;1336066;1428441;1520817;1613194;1705572;1797951;-1,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1,74;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;-1,74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;-1,14601547;35566049;62069368;88576737;115105171;141633604;168157826;194686260;221333386;249971274;278871209;307775350;336675284;365579425;394479360;423383501;452287642;481187577;-1
8,9.527181;6.941559;8.198033;9.089133;10.606995;11.811322;12.82125;14.12766,0.394945;0.20587;0.256782;0.793816;1.340486;1.17304;2.107401;5.225873,390;390;390;390;390;390;390;390,0;328637;2011246;3777896;5545697;7575876;9606965;11638289,0;328638;419307;510709;603477;697696;792214;886832,0;3;3;3;3;3;3;3,15;12;12;12;12;12;12;12,15;15;15;15;15;15;15;15,14755609;71663454;131307000;190954597;259040978;327152642;395272681;463405286
9,9.077222;8.31288;9.277762;10.384666;11.864268;12.779797;13.993126;14.912989;15.590415;16.867518;18.302528;22.287364;19.841558;20.344006;21.305254;-1,0.371304;0.253874;0.283436;1.161674;1.425017;1.476862;1.636939;1.665285;1.712873;2.110469;1.866415;2.124422;2.048307;2.043212;2.259213;-1,384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;-1,0;314545;2689546;5144574;7600733;10390081;13179927;15969815;18759765;21549801;24339951;27130247;29920725;32711425;35502391;-1,0;314524;401928;490053;579529;670648;761768;852890;944014;1035140;1126268;1217398;1308530;1399664;1490800;-1,0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,25;16;16;16;16;16;16;16;16;16;16;16;16;16;16;-1,25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;-1,14104870;93050202;174604383;256158405;348434257;440731231;533032402;625333550;717692128;818029849;918892023;1019762541;1120645596;1221541171;1322453453;-1
10,10.015505;7.78568;8.501766;9.345835;10.966304;12.023273,0.411082;0.198889;0.251843;0.969425;1.2735;3.764059,402;402;402;402;402;402,0;333361;2034039;3821702;5610651;7670952,0;333357;425903;519234;614076;710322,0;3;3;3;3;3,15;12;12;12;12;12,15;15;15;15;15;15,14974025;72524312;132903326;193294793;262412536;331555581
