index,models,steps,total_wall,total_cpu,mem_start_bytes,mem_end_bytes,mem_delta_bytes,wall_ground_list,cpu_ground_list,wall_solve_list,cpu_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,aspif_bytes_list,mem_grounding_mb_list,mem_solve_mb_list
1,0,19,369.507,366.938,31875072,1145069568,1061.62,9.803621;4.269904;5.59147;6.644509;7.305072;8.258307;9.629557;10.486216;11.543643;12.411381;13.414493;14.387445;15.268476;16.323217;17.285627;18.420435;19.20649;20.855437;21.188133;-1,9.78125;4.265625;5.546875;6.609375;7.296875;8.1875;9.484375;10.296875;11.46875;12.3125;13.40625;14.28125;15.25;16.15625;17.015625;18.265625;19.15625;20.734375;21.0625;-1,0.398439;0.082222;0.16622;0.16202;0.183312;0.193386;0.206379;0.221151;0.252036;0.258941;0.268327;0.260706;0.267464;0.302166;0.319354;0.294459;0.317989;0.324591;0.334866;-1,0.40625;0.09375;0.15625;0.171875;0.1875;0.1875;0.203125;0.21875;0.234375;0.25;0.28125;0.265625;0.265625;0.3125;0.3125;0.296875;0.3125;0.328125;0.328125;-1,400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;-1,0;333869;584880;921677;1259618;1598021;1936428;2274839;2613254;2951673;3290096;3628523;3966954;4305389;4643828;4982271;5320718;5659169;5997624;-1,0;333848;424760;516417;609439;702918;796398;889879;983361;1076844;1170328;1263813;1357299;1450786;1544274;1637763;1731253;1824744;1918236;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,28;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;-1,28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;-1,14999567;26112229;40015568;53927174;67851416;81779869;95704108;109632557;123708473;138648572;153768952;168889329;184009703;199130076;214250447;229370816;244495386;259615755;274736119;-1,92.16;136.57;173.68;221.42;271.02;320.21;382.97;430.93;478.22;533.78;581.82;630.52;678.55;727.61;775.91;823.9;904.24;951.82;1016.87;-1,96.27;140.24;200.44;245.15;297.41;346.06;409.55;457.25;505.45;560.11;608.58;655.98;706.17;754.36;802.08;850.75;930.17;979.33;1043.74;-1
2,1,10,119.697,118.75,256696320,1064775680,770.64,8.748531;4.517066;5.607776;6.430383;7.535982;8.485733;9.340932;10.258208;11.376265;12.256632,8.734375;4.515625;5.5625;6.34375;7.453125;8.421875;9.296875;10.234375;11.15625;12.125,0.350264;0.110298;0.157948;0.247488;0.341567;0.357266;0.422258;0.496327;0.533241;3.195484,0.359375;0.109375;0.15625;0.25;0.34375;0.359375;0.421875;0.484375;0.53125;3.15625,375;375;375;375;375;375;375;375;375;375,0;308290;841405;1453431;2066608;2762276;3457963;4153681;4849444;5545262,0;308284;393467;479389;566698;654755;742814;830875;918938;1007003,0;7;7;7;7;7;7;7;7;7,7;0;0;0;0;0;0;0;0;0,7;7;7;7;7;7;7;7;7;7,13809718;33747249;56247152;78759534;103922755;129085975;154253409;179420843;204592490;230091797,267.36;306.34;337.05;381.56;454.0;542.7;623.82;709.18;793.1;876.54,273.46;308.84;362.8;429.49;517.71;607.89;689.55;775.22;858.43;1015.48
3,0,17,342.891,340.438,314474496,1919033344,1530.23,10.424518;5.15746;6.318688;7.329168;8.512192;9.598278;10.801547;11.692109;12.742314;13.747224;15.531286;16.190177;17.341303;18.413693;19.11908;20.236017;21.394309;-1,10.28125;5.109375;6.28125;7.28125;8.453125;9.578125;10.703125;11.609375;12.703125;13.6875;15.53125;16.15625;17.328125;18.265625;18.921875;19.96875;21.015625;-1,0.434888;0.124291;0.190227;0.289028;0.404687;0.41697;0.492671;0.495802;0.624644;0.497441;0.564886;0.529271;0.562216;0.582652;0.618361;0.656725;0.671148;-1,0.421875;0.125;0.203125;0.28125;0.40625;0.40625;0.5;0.5;0.625;0.5;0.5625;0.53125;0.5625;0.5625;0.609375;0.65625;0.640625;-1,410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;-1,0;349594;954589;1648928;2344443;3133110;3921849;4710701;5499705;6288904;7078130;7867616;8657323;9447527;10237904;11028415;11819347;-1,0;349579;445665;542512;640764;739793;838826;937863;1036904;1135949;1234996;1334046;1433099;1532156;1631215;1730276;1829340;-1,0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,16;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-1,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;-1,15731444;38352532;63878467;89412664;117944374;146480280;175016184;203695665;234521706;265536144;296657366;327782798;358933427;390092415;421255564;452439674;483627921;-1,324.32;346.42;364.49;409.22;490.91;582.64;675.99;769.51;872.51;969.22;1065.61;1161.07;1258.39;1354.77;1451.26;1546.98;1644.28;-1,330.52;351.43;391.56;458.54;561.5;655.43;750.83;844.45;947.8;1043.88;1139.44;1236.14;1332.47;1429.09;1524.98;1622.11;1718.41;-1
4,0,18,356.782,354.875,329863168,1930850304,1526.82,9.662931;4.912311;6.142999;7.012372;8.26493;9.205026;10.042137;11.214754;12.296824;13.264631;14.54568;15.185532;16.197178;17.60236;18.372305;19.324927;20.457286;21.321831;-1,9.625;4.859375;6.015625;6.984375;8.21875;9.140625;10.0;11.109375;12.25;13.203125;14.203125;15.125;16.140625;17.421875;18.328125;19.3125;20.40625;21.28125;-1,0.401385;0.116943;0.175903;0.278193;0.36167;0.378014;0.408109;0.410659;0.450728;0.445657;0.489372;0.490146;0.519948;0.537597;0.579324;0.567476;0.618054;0.598929;-1,0.40625;0.109375;0.171875;0.265625;0.359375;0.390625;0.40625;0.390625;0.453125;0.4375;0.484375;0.484375;0.515625;0.53125;0.578125;0.5625;0.609375;0.59375;-1,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;-1,0;335567;916061;1582368;2249968;3007138;3764308;4521478;5278648;6035818;6792988;7550158;8307328;9064498;9821668;10578838;11336008;12093178;-1,0;335552;427902;521058;615772;711304;806836;902368;997900;1093432;1188964;1284496;1380028;1475560;1571092;1666624;1762156;1857688;-1,0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,30;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;-1,30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-1,15076625;36784839;61279539;85778273;113164572;140546658;167932958;195315044;222955301;252516465;282352123;312187779;342023435;371859091;401690540;431526196;461361852;491197509;-1,338.9;360.42;375.61;412.35;488.86;576.18;661.82;751.59;840.17;937.94;1027.84;1116.91;1208.27;1299.52;1391.07;1481.88;1572.92;1664.38;-1,345.02;363.37;402.18;462.58;557.1;641.48;731.13;821.17;909.3;1008.12;1097.8;1187.15;1278.67;1370.22;1460.67;1552.3;1643.01;1734.43;-1
5,1,4,32.725,32.688,331784192,493940736,154.64,8.697714;3.937054;4.939844;5.797517,8.671875;3.9375;4.9375;5.796875,0.353515;0.071477;0.124087;1.546255,0.359375;0.078125;0.125;1.546875,377;377;377;377,0;309945;543814;856597,0;309942;394821;480440,0;3;3;3,9;6;6;6,9;9;9;9,13886725;24239045;37157944;50085107,339.18;352.0;366.0;397.63,345.04;355.52;391.09;471.09
6,0,7,127.833,127.594,338755584,2284908544,1856.0,8.838019;8.151258;9.079833;9.968386;11.562336;12.522079;13.433888;-1,8.78125;8.125;9.078125;9.953125;11.5625;12.515625;13.421875;-1,0.357457;0.232958;0.275552;1.10465;1.551415;1.730606;2.482719;-1,0.359375;0.234375;0.28125;1.109375;1.546875;1.734375;2.484375;-1,383;383;383;383;383;383;383;-1,0;312814;2673944;5115095;7557347;10334242;13111612;-1,0;312812;400153;488206;577593;668581;759568;-1,0;4;4;4;4;4;4;-1,10;6;6;6;6;6;6;-1,10;10;10;10;10;10;10;-1,14019421;92520837;173622666;254732766;346602989;438490126;530377257;-1,344.78;446.01;490.76;555.97;829.77;1178.52;1523.59;-1,350.79;443.18;508.93;760.71;1144.47;1488.2;1835.38;-1
7,0,18,346.82,344.703,335028224,1962835968,1552.4,9.523711;4.741879;6.026831;6.90287;7.879458;8.76643;9.865768;10.874201;11.799985;12.753199;14.189396;14.69201;15.793462;16.899296;17.829642;18.797832;19.836854;20.598449;-1,9.515625;4.71875;6.015625;6.875;7.828125;8.765625;9.859375;10.859375;11.75;12.65625;14.0;14.6875;15.703125;16.75;17.703125;18.4375;19.640625;20.515625;-1,0.383324;0.216751;0.304141;0.332835;0.354622;0.389589;0.401921;0.425067;0.430382;0.460728;0.496873;0.501451;0.519101;0.543546;0.565653;0.674291;0.610337;0.610884;-1,0.390625;0.21875;0.3125;0.328125;0.359375;0.375;0.40625;0.421875;0.4375;0.453125;0.484375;0.5;0.53125;0.53125;0.5625;0.65625;0.609375;0.609375;-1,388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;-1,0;325305;885938;1617892;2351031;3084652;3818275;4551900;5285527;6019156;6752787;7486420;8220055;8953692;9687331;10420972;11154615;11888260;-1,0;325332;414738;505210;597102;689469;781837;874206;966576;1058947;1151319;1243692;1336066;1428441;1520817;1613194;1705572;1797951;-1,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1,74;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;-1,74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;-1,14601547;35566049;62069368;88576737;115105171;141633604;168157826;194686260;221333386;249971274;278871209;307775350;336675284;365579425;394479360;423383501;452287642;481187577;-1,343.35;365.3;397.12;474.05;564.39;648.76;734.91;820.14;906.62;998.29;1085.59;1173.56;1260.81;1346.99;1434.94;1523.63;1611.95;1700.33;-1,349.46;385.13;461.64;540.3;630.07;715.3;800.44;887.07;972.89;1065.85;1152.83;1240.62;1327.12;1415.09;1502.94;1591.15;1679.57;1768.06;-1
8,1,8,116.171,114.875,338694144,1826840576,1419.21,9.527181;6.941559;8.198033;9.089133;10.606995;11.811322;12.82125;14.12766,9.453125;6.890625;8.140625;8.96875;10.515625;11.671875;12.671875;14.0,0.394945;0.20587;0.256782;0.793816;1.340486;1.17304;2.107401;5.225873,0.375;0.203125;0.25;0.796875;1.34375;1.078125;2.078125;5.171875,390;390;390;390;390;390;390;390,0;328637;2011246;3777896;5545697;7575876;9606965;11638289,0;328638;419307;510709;603477;697696;792214;886832,0;3;3;3;3;3;3;3,15;12;12;12;12;12;12;12,15;15;15;15;15;15;15;15,14755609;71663454;131307000;190954597;259040978;327152642;395272681;463405286,346.79;397.92;441.47;499.25;716.82;964.12;1208.87;1458.86,352.95;397.7;463.36;645.43;931.92;1176.1;1423.28;1742.24
9,0,15,336.894,334.625,377282560,5072302080,4477.52,9.077222;8.31288;9.277762;10.384666;11.864268;12.779797;13.993126;14.912989;15.590415;16.867518;18.302528;22.287364;19.841558;20.344006;21.305254;-1,8.984375;8.28125;9.28125;10.34375;11.78125;12.703125;13.921875;14.734375;15.59375;16.765625;18.15625;22.078125;19.578125;20.296875;21.265625;-1,0.371304;0.253874;0.283436;1.161674;1.425017;1.476862;1.636939;1.665285;1.712873;2.110469;1.866415;2.124422;2.048307;2.043212;2.259213;-1,0.34375;0.234375;0.28125;1.140625;1.40625;1.4375;1.640625;1.65625;1.703125;2.078125;1.828125;2.125;2.046875;2.015625;2.25;-1,384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;-1,0;314545;2689546;5144574;7600733;10390081;13179927;15969815;18759765;21549801;24339951;27130247;29920725;32711425;35502391;-1,0;314524;401928;490053;579529;670648;761768;852890;944014;1035140;1126268;1217398;1308530;1399664;1490800;-1,0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,25;16;16;16;16;16;16;16;16;16;16;16;16;16;16;-1,25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;-1,14104870;93050202;174604383;256158405;348434257;440731231;533032402;625333550;717692128;818029849;918892023;1019762541;1120645596;1221541171;1322453453;-1,382.6;458.81;502.57;567.26;840.16;1172.39;1505.54;1839.9;2175.18;2519.01;2853.65;3189.09;3524.65;3860.91;4197.14;-1,388.5;454.45;521.51;777.17;1140.5;1474.3;1808.33;2143.68;2478.72;2822.63;3156.69;3492.69;3828.52;4165.13;4500.41;-1
10,1,6,79.658,79.109,406200320,1322647552,873.99,10.015505;7.78568;8.501766;9.345835;10.966304;12.023273,9.90625;7.625;8.453125;9.3125;10.953125;11.96875,0.411082;0.198889;0.251843;0.969425;1.2735;3.764059,0.40625;0.1875;0.25;0.953125;1.28125;3.71875,402;402;402;402;402;402,0;333361;2034039;3821702;5610651;7670952,0;333357;425903;519234;614076;710322,0;3;3;3;3;3,15;12;12;12;12;12,15;15;15;15;15;15,14974025;72524312;132903326;193294793;262412536;331555581,411.07;462.4;487.34;534.95;749.79;988.68,417.3;459.22;510.4;689.23;959.35;1261.4
