index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
-1,30,0,0,0,0,0.001s;0.005s;0.007s;0.011s;0.013s;0.017s;0.019s;0.024s;0.026s;0.028s;0.032s;0.037s;0.041s;0.043s;0.052s;0.052s;0.055s;0.061s;0.066s;0.068s;0.075s;0.079s;0.084s;0.089s;0.096s;0.103s;0.11s;0.117s;0.127s;0.133s;0.143s,0.015s;0.095s;0.135s;0.173s;0.215s;0.263s;0.301s;0.333s;0.375s;0.438s;0.49s;0.541s;0.615s;0.681s;0.743s;0.84s;0.888s;0.98s;1.056s;1.143s;1.229s;1.298s;1.411s;1.493s;1.658s;1.702s;1.806s;1.984s;2.102s;2.164s;2.285s,0.007s;0.009s;0.011s;0.012s;0.008s;0.008s;0.009s;0.008s;0.008s;0.01s;0.009s;0.008s;0.008s;0.009s;0.008s;0.009s;0.007s;0.007s;0.011s;0.007s;0.008s;0.008s;0.008s;0.01s;0.008s;0.008s;0.009s;0.009s;0.009s;0.009s;0.01s,24891392;26300416;28434432;30302208;31232000;32681984;34770944;35999744;36978688;38973440;40030208;41443328;43073536;44654592;46960640;48365568;49549312;51228672;52924416;55349248;56414208;58736640;60841984;62582784;63995904;66797568;68263936;70516736;73261056;75186176;78159872,25542656;26574848;28655616;30760960;31461376;32907264;35057664;36278272;37171200;39260160;40255488;41680896;43298816;44888064;47210496;48599040;49774592;51453952;53108736;55590912;56631296;58773504;61263872;62808064;64241664;67219456;68481024;70737920;73486336;75407360;78385152,352802;2814659;4252594;5688775;7198810;8656100;10120278;11640234;13218247;14807804;16412209;18032793;19672422;21333940;23020535;24735373;26482152;28252076;30044371;31872632;33747382;35708416;37730085;39818427;41974466;44203566;46511366;48903680;51386529;53966183;56649059
-2,8,17496,9826,10162,0,0s;0.001s;0.001s;0.001s;0.006s;0.008s;0.01s;0.011s;0.015s,0.01s;0.022s;0.023s;0.024s;0.029s;0.033s;0.031s;0.033s;0.052s,0.006s;0.007s;0.007s;0.007s;0.01s;0.008s;0.008s;0.008s;0.007s,26157056;26738688;26615808;26177536;26865664;26882048;26722304;26947584;26972160,26398720;26988544;26857472;26624000;26189824;26226688;26251264;26705920;26652672,285454;329210;355710;383057;411606;441783;474085;509080;547407
-3,30,1718142,54246,223243,4,0.001s;0.002s;0.003s;0.091s;0.13s;0.178s;0.228s;0.28s;0.348s;0.406s;0.487s;0.571s;0.65s;0.759s;0.906s;1.083s;1.216s;1.502s;1.77s;2.299s;2.529s;2.876s;3.409s;3.896s;4.356s;5.068s;5.8s;6.818s;7.586s;8.984s;10.094s,0.015s;0.062s;0.075s;0.093s;0.117s;0.133s;0.156s;0.182s;0.201s;0.224s;0.265s;0.295s;0.33s;0.367s;0.419s;0.448s;0.509s;0.57s;0.619s;0.674s;0.743s;0.817s;0.899s;0.977s;1.077s;1.186s;1.325s;1.455s;1.574s;1.732s;1.899s,0.005s;0.008s;0.007s;0.008s;0.007s;0.008s;0.008s;0.009s;0.008s;0.008s;0.008s;0.008s;0.008s;0.007s;0.008s;0.008s;0.007s;0.009s;0.009s;0.008s;0.008s;0.009s;0.008s;0.01s;0.008s;0.009s;0.009s;0.01s;0.008s;0.009s;0.008s,26406912;26116096;27070464;27598848;28143616;28708864;29274112;29904896;30990336;31125504;31850496;33611776;33382400;34156544;35008512;36442112;36962304;38084608;39268352;41312256;42115072;44445696;45596672;47632384;51105792;52432896;57683968;59826176;63164416;66396160;70508544,26628096;26349568;27287552;28065792;28377088;28930048;29761536;30375936;31248384;31596544;32301056;33841152;33603584;34377728;35495936;36458496;37437440;38543360;39743488;41328640;42344448;44728320;45830144;47882240;51109888;52670464;57683968;60276736;63180800;66850816;70541312,321361;1291163;1853283;2424576;3002266;3590665;4244367;4871861;5523366;6244267;7015410;7821482;8646289;9532747;10495133;11539180;12680863;13935503;15316925;16843172;18556601;20455196;22557547;24886421;27466138;30322702;33483807;36978850;40837427;45101907;49775610
-4,30,0,0,0,0,0.001s;0.002s;0.004s;0.004s;0.005s;0.006s;0.008s;0.009s;0.011s;0.011s;0.013s;0.013s;0.015s;0.017s;0.018s;0.02s;0.02s;0.022s;0.022s;0.024s;0.025s;0.032s;0.031s;0.03s;0.033s;0.034s;0.035s;0.037s;0.037s;0.04s;0.044s,0.016s;0.057s;0.073s;0.094s;0.112s;0.13s;0.153s;0.187s;0.225s;0.251s;0.287s;0.322s;0.353s;0.403s;0.44s;0.47s;0.529s;0.55s;0.61s;0.636s;0.674s;0.768s;0.785s;0.838s;0.896s;0.958s;1.044s;1.063s;1.155s;1.18s;1.279s,0.007s;0.009s;0.01s;0.009s;0.008s;0.01s;0.008s;0.01s;0.009s;0.007s;0.009s;0.007s;0.009s;0.008s;0.009s;0.008s;0.008s;0.008s;0.009s;0.008s;0.009s;0.009s;0.008s;0.009s;0.01s;0.008s;0.008s;0.01s;0.01s;0.007s;0.008s,26853376;27152384;29052928;28086272;29339648;29597696;32260096;32825344;33406976;32088064;32419840;33026048;32968704;34320384;35360768;37228544;35835904;36417536;37220352;37867520;40148992;39018496;39358464;42041344;41132032;43167744;43769856;42807296;42893312;44216320;44019712,27262976;27430912;29057024;28590080;29593600;29609984;32260096;32825344;33406976;32374784;32649216;33284096;33476608;34603008;35635200;37228544;36093952;36671488;37720064;38150144;40148992;39309312;39628800;42041344;41631744;43167744;43769856;43081728;43175936;44703744;44511232,341315;1335936;1899207;2467429;3033782;3601386;4175666;4778855;5351158;5924321;6497147;7076379;7691966;8307587;8923181;9538796;10154388;10769998;11385617;12001213;12599111;13189707;13783928;14377587;14974199;15581254;16195230;16809205;17423171;18037132;18651109
-5,3,106226,12624,14998,6,0s;0.022s;0.043s;0.093s,0.014s;0.052s;0.07s;0.086s,0.005s;0.009s;0.008s;0.007s,26624000;27774976;28700672;28459008,26927104;28053504;28971008;37425152,318429;1317345;1866064;2420966
-6,8,99666,15466,21265,3,0s;0.001s;0.002s;0.002s;0.048s;0.063s;0.076s;0.095s;0.266s,0.011s;0.029s;0.036s;0.043s;0.05s;0.057s;0.078s;0.08s;0.085s,0.005s;0.009s;0.009s;0.008s;0.008s;0.008s;0.012s;0.008s;0.008s,26746880;27414528;27529216;28196864;27987968;28221440;28454912;31916032;28946432,26968064;27627520;27725824;27295744;28246016;27770880;28712960;28246016;58056704,293009;700590;935738;1174288;1416238;1661949;1915210;2172670;2436555
-7,30,0,0,0,0,0.047s;0.088s;0.122s;0.148s;0.18s;0.212s;0.244s;0.273s;0.31s;0.338s;0.369s;0.402s;0.445s;0.467s;0.504s;0.533s;0.57s;0.603s;0.635s;0.66s;0.694s;0.755s;0.763s;0.793s;0.825s;0.854s;0.896s;0.929s;0.965s;1.035s;1.05s,0.508s;1.215s;1.698s;2.226s;2.722s;3.189s;3.695s;4.238s;4.848s;5.401s;6.012s;6.721s;7.519s;8.042s;8.7s;9.446s;10.252s;11.014s;12.133s;12.71s;14.033s;14.433s;15.792s;16.559s;16.973s;18.037s;19.129s;19.991s;20.888s;22.606s;23.513s,0.006s;0.009s;0.009s;0.01s;0.008s;0.009s;0.009s;0.009s;0.009s;0.007s;0.008s;0.007s;0.008s;0.008s;0.007s;0.007s;0.008s;0.009s;0.008s;0.007s;0.008s;0.007s;0.008s;0.008s;0.007s;0.009s;0.008s;0.007s;0.009s;0.007s;0.007s,26931200;36683776;55119872;67317760;79052800;90333184;106094592;117870592;126136320;141537280;153374720;161685504;177139712;185688064;201162752;213221376;221335552;237318144;245899264;261476352;273620992;281653248;297701376;309776384;318468096;334000128;346071040;354107392;370274304;378871808;390463488,27127808;36950016;55136256;66121728;79069184;90607616;106094592;117870592;126152704;141537280;153374720;161959936;177139712;185962496;201162752;213221376;221351936;237318144;245915648;261476352;273620992;281927680;293044224;309755904;318484480;334000128;346071040;354390016;370274304;379146240;390479872,9386206;29146219;41380328;53617377;65854547;78091823;90329205;102566663;114895082;127160331;139436706;151874296;164383472;176839307;189408008;201994674;214494362;226999972;239598085;252170696;264670835;277176920;289769205;302403739;314956806;327453164;339974848;352606071;365165693;377746407;390240337
-8,6,87896,14301,21893,4,0.001s;0.028s;0.043s;0.062s;0.087s;0.117s;0.195s,0.012s;0.033s;0.045s;0.055s;0.07s;0.075s;0.085s,0.007s;0.009s;0.008s;0.009s;0.008s;0.007s;0.008s,26763264;27922432;30691328;28364800;28647424;32149504;32440320,27000832;28139520;30691328;27406336;28659712;32149504;41721856,305930;761650;1037597;1319480;1611075;1915541;2232026
-9,30,0,0,0,0,0.001s;0.005s;0.007s;0.013s;0.012s;0.016s;0.02s;0.025s;0.028s;0.034s;0.036s;0.04s;0.045s;0.048s;0.055s;0.059s;0.063s;0.068s;0.074s;0.079s;0.085s;0.094s;0.103s;0.108s;0.116s;0.125s;0.135s;0.141s;0.149s;0.163s;0.171s,0.016s;0.083s;0.114s;0.149s;0.188s;0.224s;0.263s;0.323s;0.374s;0.449s;0.499s;0.539s;0.615s;0.686s;0.737s;0.85s;0.891s;0.973s;1.033s;1.142s;1.182s;1.281s;1.409s;1.451s;1.576s;1.686s;1.765s;1.885s;2.011s;2.149s;2.266s,0.007s;0.008s;0.009s;0.009s;0.01s;0.011s;0.008s;0.009s;0.007s;0.011s;0.011s;0.01s;0.009s;0.009s;0.008s;0.011s;0.008s;0.01s;0.009s;0.011s;0.009s;0.009s;0.009s;0.011s;0.011s;0.01s;0.008s;0.008s;0.013s;0.008s;0.01s,26759168;28303360;30064640;33685504;32915456;37564416;38977536;40505344;42053632;43618304;45195264;46751744;48300032;49876992;51544064;53211136;54915072;56696832;58531840;60416000;62361600;61067264;62984192;68481024;70770688;73207808;75653120;78204928;80871424;83664896;83206144,27004928;28393472;29118464;33685504;33189888;37564416;38977536;40505344;42053632;43618304;45195264;46751744;48300032;49876992;51548160;53211136;54915072;56696832;58531840;60416000;62361600;61362176;63004672;68481024;70848512;73207808;75653120;78204928;80871424;83664896;83222528,369354;2832096;4290886;5773753;7247095;8724401;10313689;11927702;13555047;15198479;16817493;18434688;20078374;21756459;23483172;25256573;27108992;29011409;30969496;32989032;35076133;37237236;39479126;41808667;44233230;46760411;49398088;52154461;55037994;58057427;61221822
-10,5,563821,25262,58241,6,0.001s;0.129s;0.295s;0.524s;0.836s;1.188s,0.017s;0.104s;0.157s;0.21s;0.264s;0.314s,0.007s;0.009s;0.008s;0.007s;0.008s;0.01s,26783744;28344320;31084544;35676160;38821888;38051840,27000832;28352512;31105024;35676160;38821888;39874560,348062;4051436;6311968;8542962;10920779;13190266
