index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
1,3,1,-1,-1,-1,0.011s;0.403s;0.66s;-1,4.017s;12.44s;17.956s;-1,0.006s;0.008s;0.008s;-1,25509888;39366656;364040192;-1,25821184;39596032;364064768;-1,13901210;352188374;528591360;-1
2,3,1,-1,-1,-1,0.011s;0.411s;0.737s;-1,4.007s;15.429s;21.298s;-1,0.005s;0.008s;0.007s;-1,26525696;39342080;345403392;-1,26054656;38461440;345640960;-1,12788631;332295313;505539152;-1
3,2,1,-1,-1,-1,0.01s;0.444s;-1,4.597s;16.685s;-1,0.006s;0.008s;-1,26906624;40796160;-1,27148288;40837120;-1,14586718;379313416;-1
4,4,1,-1,-1,-1,0.011s;0.466s;0.821s;1.249s;-1,4.333s;17.544s;21.859s;27.979s;-1,0.005s;0.008s;0.007s;0.008s;-1,27033600;40374272;374726656;555991040;-1,26603520;40607744;374202368;556015616;-1,13977029;362636449;551645144;740653839;-1
5,3,1,-1,-1,-1,0.01s;0.353s;0.587s;-1,3.735s;11.278s;16.641s;-1,0.005s;0.007s;0.008s;-1,26857472;39260160;336891904;-1,26607616;39497728;336076800;-1,12861195;322913552;484669656;-1
6,3,1,-1,-1,-1,0.01s;0.726s;1.534s;-1,3.774s;15.21s;22.296s;-1,0.006s;0.007s;0.007s;-1,27082752;39665664;410411008;-1,27484160;38989824;410619904;-1,12986068;399590864;640309725;-1
7,3,1,-1,-1,-1,0.011s;0.437s;0.771s;-1,4.021s;14.085s;25.358s;-1,0.005s;0.008s;0.008s;-1,26882048;39931904;338526208;-1,26624000;40169472;337682432;-1,13530906;324686304;536252347;-1
8,3,1,-1,-1,-1,0.01s;0.607s;1.347s;-1,4.043s;17.396s;23.548s;-1,0.006s;0.008s;0.009s;-1,26886144;40067072;404205568;-1,26628096;40304640;403361792;-1,13674390;392810505;618023075;-1
9,3,1,-1,-1,-1,0.011s;0.868s;1.66s;-1,4.18s;17.403s;23.951s;-1,0.005s;0.009s;0.009s;-1,26890240;39518208;414195712;-1,26632192;39755776;413347840;-1,13063818;403076839;645679205;-1
10,2,1,-1,-1,-1,0.011s;0.726s;-1,4.609s;18.14s;-1,0.007s;0.009s;-1,27099136;40554496;-1,27508736;39866368;-1,13876270;404210392;-1
11,2,1,-1,-1,-1,0.011s;0.749s;-1,4.872s;20.533s;-1,0.007s;0.008s;-1,26906624;41267200;-1,27320320;40562688;-1,14612291;421103150;-1
12,3,1,-1,-1,-1,0.01s;0.371s;0.626s;-1,3.995s;14.807s;20.434s;-1,0.005s;0.006s;0.007s;-1,26931200;39493632;343363584;-1,27328512;39731200;343343104;-1,13053916;328037635;492355244;-1
13,3,1,-1,-1,-1,0.012s;0.467s;0.808s;-1,5.416s;20.745s;25.808s;-1,0.007s;0.008s;0.008s;-1,26898432;40239104;369737728;-1,26640384;40476672;369938432;-1,13845942;357502571;543842831;-1
14,3,1,-1,-1,-1,0.011s;0.408s;0.678s;-1,4.381s;13.574s;19.567s;-1,0.005s;0.007s;0.008s;-1,27111424;40644608;368984064;-1,27516928;40230912;369168384;-1,14249553;356753512;535430980;-1
15,4,1,-1,-1,-1,0.01s;0.419s;0.796s;1.157s;-1,3.849s;13.98s;21.509s;26.744s;-1,0.006s;0.007s;0.008s;0.008s;-1,26898432;41648128;358092800;530407424;-1,27320320;41648128;357470208;530440192;-1,13276003;345019962;524840577;704661752;-1
16,3,1,-1,-1,-1,0.011s;0.39s;0.673s;-1,4.542s;13.621s;22.128s;-1,0.006s;0.008s;0.008s;-1,27086848;40783872;365256704;-1,27385856;41005056;363073536;-1,14048606;350908121;526662404;-1
17,3,1,-1,-1,-1,0.012s;0.412s;0.679s;-1,5.894s;17.138s;20.477s;-1,0.006s;0.007s;0.007s;-1,27123712;42987520;378654720;-1,27422720;40804352;378187776;-1,14662097;366648656;550280444;-1
18,3,1,-1,-1,-1,0.011s;0.427s;0.792s;-1,3.968s;14.025s;24.744s;-1,0.007s;0.008s;0.007s;-1,27136000;41963520;365576192;-1,27377664;41963520;365576192;-1,13546046;351088143;534069270;-1
19,2,1,-1,-1,-1,0.011s;0.441s;-1,5.634s;21.561s;-1,0.006s;0.009s;-1,27127808;41615360;-1,27426816;40996864;-1,14868265;372635703;-1
20,2,1,-1,-1,-1,0.01s;0.428s;-1,5.755s;20.869s;-1,0.006s;0.011s;-1,27164672;41218048;-1,27426816;41435136;-1,14454334;361673455;-1
21,3,1,-1,-1,-1,0.011s;0.446s;0.815s;-1,4.575s;17.742s;23.7s;-1,0.006s;0.008s;0.007s;-1,27160576;40935424;378580992;-1,27426816;41156608;378880000;-1,14151562;366518729;557519223;-1
22,4,1,-1,-1,-1,0.011s;0.382s;0.638s;0.902s;-1,4.031s;12.505s;18.441s;25.173s;-1,0.008s;0.007s;0.007s;0.007s;-1,27127808;41046016;362840064;528605184;-1,26832896;40046592;362840064;528613376;-1,13870038;348355941;522839163;697322945;-1
23,3,1,-1,-1,-1,0.011s;0.447s;0.782s;-1,4.123s;15.424s;28.246s;-1,0.006s;0.008s;0.011s;-1,27164672;40747008;378601472;-1,27430912;40132608;378601472;-1,13949192;364729050;554787530;-1
