index,models,steps,total_wall,total_cpu,mem_start_bytes,mem_end_bytes,mem_delta_bytes,wall_ground_list,cpu_ground_list,wall_solve_list,cpu_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,aspif_bytes_list,mem_grounding_mb_list,mem_solve_mb_list
-1,0,30,16.371,16.353,26046464,150306816,118.5,0.13646;0.131294;0.141573;0.15513;0.176778;0.193904;0.21105;0.229067;0.249445;0.266156;0.285214;0.305585;0.32248;0.33912;0.361877;0.37629;0.399982;0.418747;0.439389;0.459068;0.482219;0.502352;0.524905;0.542854;0.565886;0.592649;0.613752;0.638925;0.664095;0.687008,0.13626;0.131237;0.14149;0.155057;0.176708;0.193824;0.210946;0.228971;0.249294;0.265857;0.285089;0.305405;0.322331;0.338693;0.361264;0.375782;0.399625;0.418388;0.439002;0.458534;0.481171;0.501978;0.524124;0.542277;0.565244;0.591573;0.61333;0.638172;0.663331;0.686191,0.003903;0.00177;0.002749;0.005099;0.007279;0.008258;0.008925;0.010521;0.011164;0.01349;0.013763;0.015749;0.018372;0.018636;0.020998;0.024612;0.02462;0.027764;0.030238;0.035916;0.035361;0.039838;0.043392;0.052621;0.050156;0.05615;0.061681;0.068222;0.079774;0.076528,0.003899;0.00177;0.002749;0.005093;0.007278;0.008259;0.008914;0.010514;0.011152;0.013482;0.013751;0.015735;0.018221;0.01863;0.020984;0.024587;0.024599;0.027743;0.030211;0.035876;0.035321;0.039785;0.043335;0.052538;0.05009;0.056079;0.061459;0.068138;0.07964;0.076424,406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406,0;8797;11553;14904;19251;25417;31654;37971;44396;50961;57702;64659;71876;79401;87286;95587;104364;113681;123606;134211;145572;157769;170886;185011;200236;216657;234374;253491;274116;296361,0;7890;9091;10401;11854;13409;14965;16522;18080;19639;21199;22760;24322;25885;27449;29014;30580;32147;33715;35284;36854;38425;39997;41570;43144;44719;46295;47872;49450;51029,1;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,79;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80,385141;499878;639171;819413;1065206;1310971;1564920;1827076;2089228;2359588;2646311;2941247;3244362;3563881;3907948;4268431;4653475;5071297;5513705;5988842;6496786;7045667;7643730;8290902;8987223;9740913;10560178;11436749;12395250;13419324,28.2;29.35;29.61;30.64;32.33;34.17;36.13;37.74;40.09;41.92;44.62;46.19;48.27;51.72;53.15;55.77;60.88;62.31;65.45;69.55;77.25;79.12;83.37;87.91;99.14;101.53;107.2;113.3;122.27;139.34,28.2;29.61;30.12;31.82;33.63;36.13;37.48;40.09;41.15;44.62;45.68;48.27;51.72;52.89;55.26;60.88;62.31;65.45;68.26;77.25;79.12;83.37;87.65;99.14;101.53;107.2;113.3;122.27;139.34;143.34
-2,1,10,1.577,1.575,118149120,118419456,0.26,0.118238;0.098408;0.098148;0.100871;0.10262;0.104678;0.106448;0.107642;0.111506;0.112404,0.118117;0.098365;0.098016;0.100816;0.102577;0.104487;0.106399;0.10725;0.111375;0.112352,0.002221;0.000543;0.000575;0.000651;0.000748;0.000786;0.000965;0.001171;0.001824;0.024233,0.002216;0.000543;0.000575;0.000651;0.000747;0.000786;0.00096;0.00117;0.001824;0.024219,374;374;374;374;374;374;374;374;374;374,0;7068;7182;7319;7461;7659;7876;8124;8417;8771,0;7061;7186;7318;7465;7626;7789;7954;8121;8290,1;17;17;17;17;17;17;17;17;17,16;0;0;0;0;0;0;0;0;0,17;17;17;17;17;17;17;17;17;17,303257;311448;319641;327832;336023;344214;352405;368787;376978;393360,112.68;112.68;112.68;112.68;112.68;112.68;112.68;112.68;112.68;112.68,112.68;112.68;112.68;112.68;112.68;112.68;112.68;112.68;112.68;112.93
-3,0,30,14.153,14.132,118419456,259014656,134.08,0.129235;0.118013;0.125656;0.134568;0.145319;0.157224;0.168141;0.179235;0.191786;0.205276;0.215506;0.229028;0.243899;0.257127;0.271772;0.286252;0.302778;0.319127;0.336531;0.358986;0.371332;0.391986;0.414446;0.433688;0.456874;0.489321;0.508286;0.531608;0.557031;0.585886,0.129044;0.117929;0.125548;0.134511;0.145256;0.156614;0.167944;0.179007;0.191381;0.204489;0.215387;0.228922;0.243366;0.25672;0.271464;0.28583;0.302485;0.318842;0.336167;0.358072;0.370684;0.391497;0.413739;0.433303;0.456596;0.488395;0.507873;0.531004;0.556428;0.585158,0.003079;0.001282;0.001966;0.003228;0.004179;0.005426;0.006377;0.009339;0.010267;0.012578;0.014673;0.013267;0.018103;0.016161;0.020749;0.026602;0.030168;0.041699;0.056314;0.060784;0.081444;0.163459;0.10195;0.126498;0.120646;0.146466;0.150778;0.181534;0.274935;0.227685,0.003079;0.001282;0.001966;0.003228;0.004179;0.005426;0.00629;0.009313;0.010262;0.012569;0.014659;0.013252;0.018079;0.016146;0.02059;0.026571;0.030123;0.041645;0.056231;0.060522;0.081331;0.163213;0.101798;0.126035;0.120311;0.146175;0.150229;0.181249;0.273668;0.226846,413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413,0;8074;9429;11163;13398;16149;19048;22090;25357;28934;32922;37419;42485;48340;55155;63122;72455;83391;96191;111141;128313;148254;171329;197912;228440;263340;303117;348289;399408;457061,0;7608;8397;9295;10269;11271;12276;13285;14298;15315;16336;17361;18390;19423;20460;21501;22546;23595;24648;25705;26766;27831;28900;29973;31050;32131;33216;34305;35398;36495,1;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,53;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38,54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54,352444;409795;491729;590059;712950;844062;983348;1122633;1278287;1450346;1638769;1843580;2081184;2351544;2662870;3015123;3424760;3899918;4448837;5063267;5775976;6595229;7529140;8594122;9806577;11174676;12723007;14468005;16425999;18613308,112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;113.45;113.45;113.96;113.96;117.57;117.57;117.83;133.3;151.61;151.61;157.02;186.41;220.44;186.54;232.17;239.18,112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;112.93;113.45;113.45;113.96;113.96;117.57;117.57;117.83;133.3;151.61;151.61;157.02;186.41;220.44;186.54;232.17;239.18;247.02
-4,0,30,11.141,11.128,130433024,130433024,0.0,0.133998;0.120215;0.128426;0.136558;0.150396;0.159738;0.170302;0.180786;0.193012;0.202151;0.212775;0.225804;0.234929;0.244146;0.25758;0.265456;0.277211;0.287484;0.297959;0.31016;0.319446;0.3299;0.341719;0.353561;0.362776;0.373268;0.383845;0.394792;0.406813;0.416779,0.133897;0.119887;0.128316;0.136497;0.150322;0.15967;0.170093;0.180672;0.192794;0.20186;0.212386;0.225271;0.23481;0.244045;0.256853;0.265027;0.276854;0.287194;0.29751;0.309713;0.319238;0.329698;0.341502;0.353019;0.362163;0.372823;0.383492;0.394347;0.406298;0.416315,0.003723;0.001375;0.00212;0.002695;0.003583;0.003846;0.003895;0.004238;0.004745;0.004974;0.004963;0.005483;0.005688;0.006178;0.006404;0.00643;0.006795;0.007481;0.00743;0.00835;0.008012;0.008606;0.008823;0.009332;0.009511;0.010018;0.010012;0.010779;0.011302;0.011341,0.003719;0.001375;0.00212;0.002691;0.003583;0.003846;0.00389;0.004234;0.004741;0.004826;0.004963;0.005484;0.005683;0.006173;0.0064;0.006431;0.006796;0.00747;0.007426;0.008347;0.008006;0.008602;0.008775;0.009314;0.009508;0.009999;0.009996;0.010775;0.011288;0.011337,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;8474;9675;11386;13141;15544;17951;20358;22765;25172;27579;29986;32393;34800;37207;39614;42021;44428;46835;49242;51649;54056;56463;58870;61277;63684;66091;68498;70905;73312,0;7783;8593;9522;10493;11489;12485;13481;14477;15473;16469;17465;18461;19457;20453;21449;22445;23441;24437;25433;26429;27425;28421;29417;30413;31409;32405;33401;34397;35393,1;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17,73;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57,74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74,368824;426173;508134;590059;696563;803066;917772;1024269;1138979;1245488;1351998;1466704;1581392;1687895;1802600;1909126;2023843;2130341;2245039;2351553;2466237;2572765;2687461;2793966;2908660;3015158;3129885;3236386;3351125;3457659,124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39,124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39
-5,1,4,0.737,0.736,130433024,130433024,0.0,0.127192;0.115082;0.121505;0.130452,0.126901;0.115007;0.121453;0.130117,0.003297;0.001218;0.001814;0.026461,0.003297;0.001218;0.001814;0.02631,384;384;384;384,0;7965;8971;10272,0;7468;8179;8962,1;26;26;26,47;22;22;22,48;48;48;48,344246;393405;450756;524479,124.39;124.39;124.39;124.39,124.39;124.39;124.39;124.39
-6,1,9,1.653,1.651,130433024,130433024,0.0,0.121854;0.106622;0.109222;0.114581;0.120207;0.129212;0.133577;0.1399;0.145591,0.121575;0.106417;0.109147;0.114106;0.120139;0.129146;0.133488;0.139802;0.145495,0.002418;0.000807;0.001107;0.001659;0.002287;0.00296;0.00482;0.006889;0.02682,0.002418;0.000807;0.001102;0.001659;0.002282;0.00296;0.00482;0.006856;0.026807,382;382;382;382;382;382;382;382;382,0;7208;7805;8477;9568;10824;12110;13438;14826,0;7202;7614;8089;8630;9187;9744;10301;10858,1;12;12;12;12;12;12;12;12,26;15;15;15;15;15;15;15;15,27;27;27;27;27;27;27;27;27,311429;344201;376992;417955;475298;524465;581816;639158;704708,124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39,124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39;124.39
-7,0,30,95.562,95.416,130433024,995688448,825.17,0.915291;0.554785;0.666918;0.789421;0.900585;1.005158;1.113691;1.231901;1.328412;1.453881;1.562394;1.668988;1.767869;1.8866;2.006943;2.120997;2.226645;2.346406;2.474951;2.595371;2.713508;2.842512;2.956073;3.099794;3.22308;3.326386;3.467136;3.569694;3.711459;3.837198,0.914107;0.553235;0.666286;0.788751;0.899339;1.004275;1.112332;1.230277;1.326748;1.452121;1.560765;1.667449;1.766048;1.88402;2.004897;2.118956;2.224192;2.344536;2.47311;2.591946;2.711257;2.84002;2.952986;3.09641;3.216825;3.323426;3.46254;3.565832;3.706249;3.832321,0.933315;0.096972;0.122736;0.176711;0.224778;0.220671;0.233041;0.27796;0.271944;0.283165;0.295488;0.354506;0.32532;0.342398;0.358055;0.372587;0.382396;0.441502;0.399205;0.41967;0.428488;0.460739;0.456314;0.477522;0.493624;0.499145;0.514228;0.612331;0.535912;0.541155,0.93123;0.096838;0.122548;0.174276;0.224147;0.220363;0.232688;0.27741;0.27157;0.282637;0.292829;0.354026;0.323815;0.341227;0.355067;0.371111;0.381865;0.439701;0.398504;0.417257;0.427582;0.455824;0.454079;0.476453;0.489192;0.498015;0.51087;0.609655;0.532796;0.53647,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;258893;309563;368297;436483;513808;591144;668482;745822;823164;900508;977854;1055202;1132552;1209904;1287258;1364614;1441972;1519332;1596694;1674058;1751424;1828792;1906162;1983534;2060908;2138284;2215662;2293042;2370424,0;23002;29675;36878;44347;51930;59514;67099;74685;82272;89860;97449;105039;112630;120222;127815;135409;143004;150600;158197;165795;173394;180994;188595;196197;203800;211404;219009;226615;234222,22;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28,215;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209,237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237,9888306;12518126;15508403;18924612;22725909;26518948;30312052;34105144;37898214;41699491;45500817;49293909;53103426;57093355;61132434;65171432;69210417;73249504;77288515;81319314;85358298;89397301;93436397;97475498;101514483;105553453;109592486;113631532;117670551;121709587,124.39;169.5;213.85;250.71;261.86;295.96;308.09;320.04;368.97;386.89;399.26;413.11;445.29;464.99;490.57;518.82;551.47;580.5;619.01;638.56;668.77;692.35;730.8;755.74;787.14;812.05;843.19;858.54;910.14;937.11,169.5;213.85;250.71;261.86;295.96;308.09;320.04;368.97;386.89;399.26;413.11;445.29;464.99;490.57;518.82;551.47;580.5;619.01;638.56;668.77;692.35;730.8;755.74;787.14;812.05;843.19;858.54;910.14;937.11;949.56
-8,1,8,1.551,1.549,580988928,580988928,0.0,0.128734;0.112675;0.117655;0.124898;0.12848;0.142334;0.142786;0.150706,0.128502;0.112621;0.117608;0.124836;0.128416;0.142249;0.142572;0.150598,0.003008;0.00131;0.002152;0.003615;0.003591;0.006386;0.008332;0.038285,0.003008;0.001306;0.002152;0.003615;0.003591;0.006386;0.008325;0.038247,389;389;389;389;389;389;389;389,0;7718;8751;9936;11745;13408;15188;17103,0;7357;7886;8502;9179;9800;10420;11040,1;11;11;11;23;23;23;23,34;24;24;24;12;12;12;12,35;35;35;35;35;35;35;35,327814;385163;442531;516273;581812;647345;721070;802997,554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07,554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07
-9,0,30,16.449,16.43,580988928,605585408,23.46,0.139421;0.139904;0.157797;0.164949;0.185554;0.200408;0.226805;0.236434;0.25356;0.273095;0.291128;0.309218;0.334991;0.346506;0.364458;0.383775;0.403587;0.422532;0.451851;0.461205;0.490914;0.503597;0.532431;0.55749;0.565897;0.585244;0.616401;0.641735;0.65391;0.677474,0.139353;0.139709;0.157709;0.164686;0.185199;0.200315;0.226531;0.23632;0.253305;0.272825;0.290981;0.308621;0.334737;0.346077;0.363966;0.383458;0.403394;0.421548;0.451495;0.460398;0.489921;0.502761;0.531686;0.556667;0.565303;0.584824;0.615839;0.641114;0.653327;0.677157,0.005782;0.00255;0.00469;0.007367;0.009449;0.010046;0.012265;0.011902;0.014007;0.015253;0.016572;0.016972;0.018726;0.020008;0.023314;0.022752;0.024595;0.026795;0.030138;0.030824;0.033597;0.035752;0.038968;0.04339;0.046197;0.048047;0.052002;0.062734;0.062613;0.075436,0.005782;0.002549;0.004689;0.007363;0.009443;0.010042;0.01226;0.011896;0.013992;0.015237;0.016552;0.016961;0.018708;0.019987;0.023279;0.022725;0.024572;0.026549;0.030096;0.030783;0.033548;0.035709;0.038908;0.043326;0.046132;0.047834;0.051934;0.062639;0.062243;0.075333,386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386,0;9104;13265;17832;23685;30842;38049;45298;52609;60006;67517;75174;83013;91074;99401;108042;117049;126478;136389;146846;157917;169674;182193;195554;209841;225142;241549;259158;278069;298386,0;7852;9052;10340;11780;13307;14836;16367;17900;19435;20972;22511;24052;25595;27140;28687;30236;31787;33340;34895;36452;38011;39572;41135;42700;44267;45836;47407;48980;50555,1;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39,68;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30,69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69,401647;565503;737591;975158;1253702;1540421;1818985;2113922;2400681;2695613;3006901;3318248;3637748;3973650;4317747;4686423;5071504;5472978;5899007;6357783;6841145;7357294;7914374;8512428;9159709;9847913;10593452;11396359;12256607;13182395,554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;555.36;555.36;555.36;555.36;555.36;555.36;555.36;555.36;555.36;556.39;558.45;558.45;558.45;573.15;573.15,554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;554.07;555.36;555.36;555.36;555.36;555.36;555.36;555.36;555.36;555.36;556.39;558.45;558.45;558.45;573.15;573.15;577.53
-10,1,7,2.035,2.033,605585408,605585408,0.0,0.140192;0.151136;0.163165;0.190916;0.221056;0.239698;0.26077,0.139767;0.150794;0.16304;0.19083;0.220768;0.239431;0.260511,0.004301;0.003641;0.007337;0.019154;0.024469;0.061919;0.053695,0.0043;0.003641;0.007332;0.019002;0.024449;0.061729;0.053648,410;410;410;410;410;410;410,0;8552;14205;20368;30287;41156;52177,0;7894;9462;11207;13173;15193;17215,1;29;29;29;29;29;29,64;36;36;36;36;36;36,65;65;65;65;65;65;65,377041;614616;893195;1311001;1769806;2228615;2695577,577.53;577.53;577.53;577.53;577.53;577.53;577.53,577.53;577.53;577.53;577.53;577.53;577.53;577.53
