index,herbrand,rules,atoms,t_ground,t_solve,mem_start_mb,mem_ground_mb,mem_solve_mb,models,rel_facts,rel_nonfacts,rel_total
1,30,49710,2585,0.02,0.012,23.66,25.55,33.57,1,0,0,0
2,20,14140,1125,0.006,0.005,27.06,27.3,30.49,1,0,0,0
3,10,1570,265,0.001,0.003,27.17,27.2,27.99,1,0,0,0
-1,30,2585,1801,0.002,0.002,23.39,24.18,24.65,1,29,0,29
-2,20,1125,801,0.001,0.002,24.71,24.76,24.81,1,19,0,19
-3,10,265,201,0.001,0.002,24.66,24.7,24.78,1,9,0,9
4,50,1060,474,0.001,0.002,27.26,27.28,27.59,1,0,0,0
5,50,1078,474,0.001,0.002,27.34,27.34,27.47,1,0,0,0
6,50,1106,474,0.001,0.002,27.2,27.21,27.41,1,0,0,0
7,50,1044,474,0.001,0.003,27.2,27.21,27.48,1,0,0,0
8,50,1144,474,0.001,0.002,27.26,27.3,27.43,1,0,0,0
9,50,1078,474,0.001,0.002,27.17,27.18,27.52,1,0,0,0
10,50,1048,474,0.001,0.002,27.38,27.38,27.6,1,0,0,0
11,50,1064,474,0.001,0.002,27.35,27.5,27.7,1,0,0,0
12,50,1082,474,0.001,0.002,27.34,27.38,27.47,1,0,0,0
13,50,1064,474,0.001,0.002,27.53,27.53,27.65,1,0,0,0
14,50,237850,7305,0.097,0.049,27.39,32.76,55.18,1,0,0,0
15,50,237850,7305,0.094,0.049,28.83,34.0,55.18,1,0,0,0
16,50,237850,7305,0.092,0.048,29.52,34.52,55.57,1,0,0,0
17,50,237850,7305,0.091,0.047,29.8,34.72,55.15,1,0,0,0
18,50,237850,7305,0.091,0.048,30.07,34.82,55.8,1,0,0,0
19,50,237850,7305,0.092,0.048,31.04,34.65,55.67,1,0,0,0
20,50,237850,7305,0.09,0.048,31.05,35.54,55.92,1,0,0,0
21,50,237850,7305,0.09,0.045,32.06,36.09,56.17,1,0,0,0
22,50,237850,7305,0.09,0.047,32.28,35.88,56.27,1,0,0,0
23,50,237850,7305,0.092,0.047,31.8,36.05,56.23,1,0,0,0
-4,50,522,447,0.001,0.002,24.93,24.93,24.93,1,49,0,49
-5,50,522,447,0.001,0.002,24.99,24.99,25.0,1,49,0,49
-6,50,522,447,0.001,0.002,25.04,25.04,25.04,1,49,0,49
-7,50,522,447,0.001,0.002,25.04,25.04,25.05,1,49,0,49
-8,50,522,447,0.001,0.002,25.09,25.09,25.09,1,49,0,49
-9,50,522,447,0.001,0.002,25.15,25.15,25.15,1,49,0,49
-10,50,522,447,0.001,0.002,24.96,24.99,25.06,1,49,0,49
-11,50,522,447,0.001,0.002,25.13,25.13,25.13,1,49,0,49
-12,50,522,447,0.001,0.002,25.0,25.02,25.06,1,49,0,49
-13,50,522,447,0.001,0.002,25.18,25.18,25.18,1,49,0,49
-14,50,7305,5001,0.005,0.002,25.02,25.76,25.8,1,49,0,49
-15,50,7305,5001,0.004,0.003,25.35,25.77,25.8,1,49,0,49
-16,50,7305,5001,0.004,0.003,25.29,25.75,25.8,1,49,0,49
-17,50,7305,5001,0.004,0.003,25.31,25.78,25.8,1,49,0,49
-18,50,7305,5001,0.005,0.003,25.39,25.85,25.87,1,49,0,49
-19,50,7305,5001,0.004,0.003,25.39,25.81,25.85,1,49,0,49
-20,50,7305,5001,0.004,0.003,25.38,25.81,25.86,1,49,0,49
-21,50,7305,5001,0.004,0.002,25.33,25.81,25.85,1,49,0,49
-22,50,7305,5001,0.004,0.003,25.55,25.84,25.9,1,49,0,49
-23,50,7305,5001,0.004,0.002,25.27,25.76,25.82,1,49,0,49
