index,consts_size,rules,atoms,t_ground,t_solve,ground_file_size_bytes,mem_start_bytes,mem_ground_bytes,mem_solve_bytes,models,rel_facts,rel_nonfacts,rel_total
-1,201,27622,18814,0.138,0.054,1045622,25178112,29933568,32129024,1,199,0,199
-2,201,58027,39084,0.303,0.111,2247229,29138944,36077568,39546880,1,199,0,199
-3,201,20221,13880,0.11,0.036,754593,31272960,33710080,32882688,1,199,0,199
-4,201,14359,9972,0.078,0.024,527835,30801920,32309248,32964608,1,199,0,199
-5,201,12670,8846,0.065,0.03,463461,30973952,32301056,32677888,1,199,0,199
-6,201,20704,14202,0.11,0.037,776036,30470144,32923648,33902592,1,199,0,199
-7,201,45754,30902,0.241,0.085,1767946,31068160,36327424,37584896,1,199,0,199
-8,201,31225,21216,0.162,0.056,1203101,31170560,34582528,35811328,1,199,0,199
-9,201,8536,6090,0.045,0.015,313368,31494144,32546816,32227328,1,199,0,199
-10,201,24658,16838,0.135,0.044,930087,31404032,33890304,34844672,1,199,0,199
-11,401,108100,72866,0.556,0.234,4235464,34275328,46780416,52723712,1,399,0,399
-12,401,229717,153944,1.234,0.638,9177170,40660992,64716800,77025280,1,399,0,399
-13,401,78496,53130,0.461,0.174,3072004,42762240,51810304,54530048,1,399,0,399
-14,401,55051,37500,0.325,0.118,2152397,42483712,48627712,50757632,1,399,0,399
-15,401,48292,32994,0.318,0.108,1887222,43474944,49213440,50569216,1,399,0,399
-16,401,80422,54414,0.477,0.184,3149037,42987520,51560448,54595584,1,399,0,399
-17,401,180631,121220,0.992,0.474,7149771,44969984,61972480,70287360,1,399,0,399
-18,401,122506,82470,0.712,0.301,4804366,43249664,55840768,61521920,1,399,0,399
-19,401,31750,21966,0.203,0.059,1237051,44384256,47828992,49283072,1,399,0,399
-20,401,96238,64958,0.555,0.208,3769211,44441600,55635968,58212352,1,399,0,399
-21,601,241432,162154,1.374,0.714,9692574,47837184,77258752,88748032,1,599,0,599
-22,601,515065,344576,2.986,2.04,21224256,58470400,109002752,137334784,1,599,0,599
-23,601,174823,117748,0.942,0.442,6935680,62042112,78364672,86773760,1,599,0,599
-24,601,122068,82578,0.666,0.282,4799616,60952576,72482816,77697024,1,599,0,599
-25,601,106861,72440,0.583,0.242,4200876,63782912,72896512,77250560,1,599,0,599
-26,601,179152,120634,0.992,0.454,7114912,63275008,81334272,87912448,1,599,0,599
-27,601,404623,270948,2.204,1.423,16649300,66174976,102412288,122224640,1,599,0,599
-28,601,273841,183760,1.463,0.804,11036923,63561728,88518656,99782656,1,599,0,599
-29,601,69640,47626,0.368,0.144,2733951,62238720,68386816,71651328,1,599,0,599
-30,601,214741,144360,1.195,0.589,8587232,63205376,83763200,94867456,1,599,0,599
-31,801,427615,286676,2.335,1.537,17625686,71491584,119848960,139599872,1,799,0,799
-32,801,914074,610982,5.459,5.519,37806393,90107904,176353280,222613504,1,799,0,799
-33,801,309199,207732,1.801,0.994,12713871,97734656,121896960,134045696,1,799,0,799
-34,801,215413,145208,1.247,0.637,8629493,97873920,111644672,118403072,1,799,0,799
-35,801,188377,127184,1.133,0.519,7507145,99663872,112041984,117039104,1,799,0,799
-36,801,316897,212864,1.863,1.035,13033945,100974592,124207104,135700480,1,799,0,799
-37,801,717736,480090,4.233,3.609,29664164,102903808,161972224,196239360,1,799,0,799
-38,801,485230,325086,2.736,1.899,20015441,102273024,137457664,158298112,1,799,0,799
-39,801,122206,83070,0.674,0.291,4812319,100986880,109445120,113426432,1,799,0,799
-40,801,380164,255042,2.162,1.348,15658401,101437440,131694592,145104896,1,799,0,799
