index,t_solve_python,mem_start_bytes,mem_solve_bytes,ground_file_bytes,rules,t_solve,t_ground,t_parse,atoms,variables
-1,0.049,23781376,24203264,868593,27622,0.011s,0.026s,0.004s,18617,18616
-2,0.124,23937024,24580096,1888349,58027,0.024s,0.077s,0.012s,38887,38886
-3,0.049,23949312,24174592,627215,20221,0.005s,0.03s,0.006s,13683,13682
-4,0.03,23945216,24477696,436517,14359,0.006s,0.016s,0s,9775,9774
-5,0.029,23957504,24428544,384959,12670,0.007s,0.013s,0.003s,8649,8648
-6,0.042,23957504,24186880,642955,20704,0.006s,0.022s,0.004s,14005,14004
-7,0.11,23949312,24469504,1483922,45754,0.027s,0.062s,0.008s,30705,30704
-8,0.064,23965696,24313856,1005577,31225,0.016s,0.031s,0.007s,21019,21018
-9,0.026,23961600,24301568,258275,8536,0.003s,0.014s,0.001s,5893,5892
-10,0.05,24227840,24252416,771891,24658,0.014s,0.022s,0.004s,16641,16640
-11,0.268,23990272,25284608,3575936,108100,0.055s,0.173s,0.019s,72469,72468
-12,0.556,23990272,28426240,7787801,229717,0.125s,0.363s,0.039s,153547,153546
-13,0.167,23994368,24899584,2590240,78496,0.035s,0.106s,0.014s,52733,52732
-14,0.115,23994368,24625152,1809469,55051,0.026s,0.072s,0.007s,37103,37102
-15,0.101,23986176,24547328,1584130,48292,0.015s,0.07s,0.003s,32597,32596
-16,0.172,23990272,24924160,2654104,80422,0.031s,0.113s,0.013s,54017,54016
-17,0.431,23986176,26091520,6054743,180631,0.091s,0.28s,0.033s,120823,120822
-18,0.278,25939968,25415680,4056302,122506,0.054s,0.182s,0.022s,82073,82072
-19,0.062,25952256,24375296,1033360,31750,0.013s,0.035s,0.005s,21569,21568
-20,0.223,24014848,25128960,3181178,96238,0.044s,0.138s,0.024s,64561,64560
-21,0.626,25772032,26849280,8230044,241432,0.136s,0.399s,0.062s,161557,161556
-22,1.286,25772032,30068736,18192695,515065,0.267s,0.857s,0.111s,343979,343978
-23,0.398,25776128,26071040,5870477,174823,0.085s,0.255s,0.039s,117151,117150
-24,0.313,25776128,27213824,4055080,122068,0.057s,0.213s,0.023s,81981,81980
-25,0.255,25776128,27037696,3546819,106861,0.051s,0.163s,0.023s,71843,71842
-26,0.433,25780224,27889664,6023982,179152,0.085s,0.288s,0.029s,120037,120036
-27,1.07,25780224,30539776,14243119,404623,0.21s,0.725s,0.089s,270351,270350
-28,0.695,25780224,29003776,9378329,273841,0.149s,0.467s,0.05s,183163,183162
-29,0.152,25784320,24850432,2302568,69640,0.026s,0.098s,0.012s,47029,47028
-30,0.56,24035328,28311552,7284731,214741,0.122s,0.361s,0.043s,143763,143762
-31,1.065,25784320,30842880,15090027,427615,0.225s,0.697s,0.089s,285879,285878
-32,2.354,25784320,36589568,32514855,914074,0.498s,1.586s,0.169s,610185,610184
-33,0.844,25784320,29442048,10848529,309199,0.191s,0.546s,0.065s,206935,206934
-34,0.551,25788416,28336128,7321473,215413,0.112s,0.356s,0.049s,144411,144410
-35,0.46,25792512,28020736,6362019,188377,0.109s,0.288s,0.044s,126387,126386
-36,0.808,25792512,29540352,11124233,316897,0.167s,0.536s,0.067s,212067,212066
-37,1.844,25796608,34283520,25482323,717736,0.385s,1.239s,0.143s,479293,479292
-38,1.224,25796608,29827072,17153813,485230,0.246s,0.838s,0.088s,324289,324288
-39,0.276,24100864,25534464,4066016,122206,0.066s,0.164s,0.031s,82273,82272
-40,0.957,24104960,28590080,13390667,380164,0.197s,0.625s,0.091s,254245,254244
