index,t_solve_python,mem_start_bytes,mem_solve_bytes,ground_file_bytes,rules,t_solve,t_ground,t_parse,atoms,variables,sccs
1,0.966,23769088,24870912,22498043,1102010,0.219s,0.732s,0.005s,27426,18420,1
2,4.121,23928832,24604672,99990900,4940355,1.024s,3.072s,0.01s,57831,38690,1
3,0.601,23941120,24166400,11780512,583361,0.138s,0.454s,0s,20025,13486,1
4,0.29,23961600,24465408,5701607,287129,0.054s,0.226s,0.002s,14163,9578,1
5,0.236,24289280,24420352,4401205,223564,0.043s,0.184s,0s,12474,8452,1
6,0.598,24252416,24690688,12364951,611726,0.127s,0.459s,0.001s,20508,13808,1
7,2.492,23977984,24485888,62095460,3058426,0.657s,1.815s,0.008s,45558,30508,1
8,1.24,23982080,24330240,28900039,1413827,0.307s,0.914s,0.008s,31029,20822,1
9,0.117,23986176,24293376,1936884,98670,0.018s,0.089s,0.003s,8340,5696,1
10,0.825,24178688,24850432,17669467,868370,0.2s,0.605s,0.009s,24462,16444,1
11,8.141,23994368,25284608,175216680,8555786,1.964s,6.132s,0.021s,107704,72072,1
12,46.738,24043520,26640384,848849592,38901427,14.29s,32.353s,0.041s,229321,153150,1
13,3.394,23982080,24870912,91095090,4472416,0.904s,2.456s,0.015s,78100,52336,1
14,2.123,23965696,24596480,44872576,2186439,0.463s,1.636s,0.009s,54655,36706,1
15,1.417,23961600,24510464,34527859,1676472,0.358s,1.038s,0.008s,47896,32200,1
16,3.543,23965696,24879104,95760115,4703622,0.951s,2.563s,0.013s,80026,53620,1
17,21.639,23965696,26046464,516445823,24022507,6.173s,15.391s,0.04s,180235,120426,1
18,8.627,23969792,25382912,227870329,10965866,2.385s,6.195s,0.02s,122110,81676,1
19,0.673,23973888,24330240,14799991,707814,0.167s,0.49s,0.004s,31354,21172,1
20,5.041,23977984,25088000,137021370,6749692,1.383s,3.618s,0.018s,95842,64164,1
21,28.616,23982080,26804224,625961205,28528492,7.899s,20.627s,0.043s,240836,160960,1
22,339.71,23982080,30097408,2882978242,130525685,199.978s,139.469s,0.088s,514469,343382,1
23,13.059,24051712,26091520,321092184,14912675,3.408s,9.581s,0.03s,174227,116554,1
24,6.259,24055808,25477120,150886464,7223052,2.037s,4.165s,0.026s,121472,81384,1
25,5.98,24055808,25296896,113465207,5511709,1.508s,4.428s,0.02s,106265,71246,1
26,18.097,24055808,26148864,337399954,15643016,4.808s,13.22s,0.029s,178556,119440,1
27,137.136,24055808,28798976,1780821484,80541317,49.467s,87.471s,0.083s,404027,269754,1
28,50.583,24055808,27258880,811712144,36782687,14.012s,36.459s,0.055s,273245,182566,1
29,2.45,24064000,24862720,47721798,2313032,0.654s,1.764s,0.013s,69044,46432,1
30,28.452,24064000,26583040,492697042,22592645,7.518s,20.852s,0.039s,214145,143166,1
31,111.253,24072192,29106176,1490699318,67328909,36.4s,74.663s,0.085s,426819,285082,1
32,2112.885,24072192,12808192,6812592213,308730540,1732.14s,380.052s,0.193s,913278,609388,1
33,33.172,5943296,9666560,780619747,35174899,10.238s,22.814s,0.054s,308403,206138,1
34,13.91,6074368,8626176,370404486,16927103,3.942s,9.896s,0.037s,214617,143614,1
35,9.979,6123520,8331264,280578893,12918749,2.843s,7.056s,0.034s,187581,125590,1
36,35.698,6135808,9859072,817740541,36854257,10.935s,24.652s,0.054s,316101,211270,1
37,658.284,6152192,14622720,4201224669,190234848,494.907s,162.994s,0.127s,716940,478496,1
38,112.966,6189056,11919360,1917594994,86673730,47.13s,65.639s,0.086s,484434,323492,1
39,4.067,6225920,7659520,113185410,5386498,1.112s,2.908s,0.025s,121410,81476,1
40,56.035,6250496,10719232,1177009685,53119292,19.034s,36.864s,0.066s,379368,253448,1
